feature,rank,rho_es_max_abs,rho_nq_max_abs,rho_buy_es,rho_buy_nq,rho_sell_es,rho_sell_nq,mda_es_buy,mda_es_sell,mda_nq_buy,mda_nq_sell,top_freq_es,top_freq_nq,stable_v2_v3,was_in_training,mda_meaningful,natural_diff_ok,symmetry_ok,live_source,live_short,tier,status_proposed
ticks_count,1,0.1163684317206159,0.1144468834789935,-0.0805627663819979,-0.0970164456674771,-0.1163684317206159,-0.1144468834789935,-0.0003700472336713,0.0090736785101838,0.0,0.0,0.1389411617112031,0.1579350031600306,4,True,True,False,True,JSONL_DIRECT,JSONL,T1_SOLID,KEEP
diag_neg_delta,2,0.1121574157205621,0.11123419867245,-0.0731235903253512,-0.0924874134215735,-0.1121574157205621,-0.11123419867245,0.000132374620175,0.0033605102439904,0.0195399361022363,0.0193865814696485,0.2859741563166478,0.3046602135515417,4,True,True,False,True,JSONL_DIRECT,JSONL,T1_SOLID,KEEP
diag_pos_delta,3,0.1049621459275719,0.1074159110263437,-0.0800684779800785,-0.0988557951161462,-0.1049621459275719,-0.1074159110263437,0.0031138120882096,0.0059327897951201,0.0,0.0,0.2911491657257559,0.3032298839104547,4,True,True,False,True,JSONL_DIRECT,JSONL,T1_SOLID,KEEP
bar_duration_sec,4,0.1005495147927554,0.1063889045422824,-0.0768079370764334,-0.0839733924741704,-0.1005495147927554,-0.1063889045422824,0.0009206053130358,0.002454947501429,0.0,0.0,0.3379751599548363,0.3174666533612746,4,True,True,False,True,JSONL_DIRECT,JSONL,T1_SOLID,KEEP
single_print_count,5,0.0784073326298298,0.1007554604260596,-0.0491867121509505,-0.0770058729517677,-0.0784073326298298,-0.1007554604260596,0.0,0.0,0.0,0.0,0.2703864007025467,0.4733393207597379,0,False,False,False,True,JSONL_DIRECT,JSONL,T4_REVIEW,KEEP_RETEST
dist_comp_20d_val_atr,6,0.0951757529618526,0.0942385218049379,-0.0656327982254394,-0.0679220540340434,-0.0951757529618526,-0.0942385218049379,-0.0008484009747585,0.0014982400192544,0.0,0.0,0.0012859114289298,0.0007317965605561,4,True,True,False,True,ATR_NORMALIZE_LIVE,ATR_NORM,T1_SOLID,KEEP
dist_1d_max_atr,7,0.0943203158747443,0.0923099486158658,-0.0086678387236087,0.002506221905952,-0.0943203158747443,-0.0923099486158658,0.0097505941815337,0.00310177803183,0.0,0.0,0.0035754610462928,0.000365898280278,2,True,True,False,True,ATR_NORMALIZE_LIVE,ATR_NORM,T1_SOLID,KEEP
im_cross_delta_weighted_5,8,0.0810980672884591,0.092132895723977,-0.0595535404047573,-0.0835615576761795,-0.0810980672884591,-0.092132895723977,0.0040073407743915,0.0025993561779836,0.0,0.0,0.1826307866014301,0.1376775438246349,4,True,True,False,True,INTERMARKET_PY_NOT_LIVE,IM_TODO,T1_SOLID,KEEP
mq_pc_oi,9,0.0889034609684341,0.0793988802237474,0.0572164506049667,0.0563783641026828,0.0889034609684341,0.0793988802237474,0.0,0.0,0.0,0.0,0.1907539831890603,0.089378970827928,0,False,False,True,True,MENTHORQ_DAILY,MQ_DAILY,T4_REVIEW,KEEP_RETEST
mq_dist_call_0dte_atr,10,0.0848500577971283,0.0810900015106253,-0.0322903507355068,-0.0138807745398704,-0.0848500577971283,-0.0810900015106253,0.0,0.0,0.0,0.0,0.0255300464182662,0.0227189568572664,0,False,False,False,True,MENTHORQ_DAILY,MQ_DAILY,T4_REVIEW,KEEP_RETEST
