n,nan_pct,unique,min,max,mean,std,p99,p1,verdict,feature,category,day,fires,fire_rate_pct,sample
390,0.0,99.0,7178.75,7210.0,7196.5949,7.8011,7208.75,7180.6675,OK,price,OHLCV_PRIMITIVES,ES_27,,,
390,0.0,100.0,7180.5,7211.25,7197.4635,7.5508,7209.3325,7181.89,OK,bar_high,OHLCV_PRIMITIVES,ES_27,,,
390,0.0,110.0,7177.0,7208.75,7195.6006,8.0678,7208.0,7179.39,OK,bar_low,OHLCV_PRIMITIVES,ES_27,,,
390,0.0,362.0,557.0,48402.0,2071.5615,2770.609,8350.28,604.57,OK,total_vol,OHLCV_PRIMITIVES,ES_27,,,
390,0.0,347.0,246.0,25539.0,1044.0513,1453.923,4253.91,290.68,OK,buy_vol,OHLCV_PRIMITIVES,ES_27,,,
390,0.0,336.0,275.0,22863.0,1027.5103,1332.6586,4065.69,306.78,OK,sell_vol,OHLCV_PRIMITIVES,ES_27,,,
390,0.0,307.0,-2162.0,2676.0,16.541,321.6647,995.75,-714.66,OK,delta_bar,DELTA_VOLUME_PROFILE,ES_27,,,
390,0.0,370.0,-0.3632,0.3702,0.0076,0.1106,0.2627,-0.2129,OK,delta_bar_vol_norm,DELTA_VOLUME_PROFILE,ES_27,,,
390,0.0,379.0,-5480.0,13358.0,662.1897,3893.2368,9259.8,-5328.53,OK,delta_day,DELTA_VOLUME_PROFILE,ES_27,,,
390,0.0,2.0,-1.0,1.0,0.0872,0.9975,1.0,-1.0,OK,delta_day_dir,DELTA_VOLUME_PROFILE,ES_27,212.0,54.36,
390,0.0,348.0,0.3184,0.6851,0.5038,0.0553,0.6314,0.3936,OK,ask_pct,DELTA_VOLUME_PROFILE,ES_27,,,
390,0.0,348.0,0.3149,0.6816,0.4962,0.0553,0.6064,0.3686,OK,bid_pct,DELTA_VOLUME_PROFILE,ES_27,,,
390,0.0,370.0,-0.3632,0.3702,0.0076,0.1106,0.2627,-0.2129,OK,ask_bid_imbalance,DELTA_VOLUME_PROFILE,ES_27,,,
390,0.0,348.0,0.3184,0.6851,0.5038,0.0553,0.6314,0.3936,OK,buy_sell_ratio,DELTA_VOLUME_PROFILE,ES_27,,,
390,0.0,370.0,-0.3632,0.3702,0.0076,0.1106,0.2627,-0.2129,OK,delta_pct,DELTA_VOLUME_PROFILE,ES_27,,,
390,0.0,351.0,458.0,17460.0,1532.7256,1365.0927,6259.49,487.9,OK,ticks_count,DELTA_VOLUME_PROFILE,ES_27,,,
390,0.0,131.0,0.0,1.0,0.7814,0.313,1.0,0.0,OK,finish_delta_pct,DELTA_VOLUME_PROFILE,ES_27,,,
390,0.0,103.0,-49.0,482.0,32.8128,50.2812,225.21,-10.0,OK,high_pullback_delta,DELTA_VOLUME_PROFILE,ES_27,,,
390,0.0,107.0,-78.0,218.0,25.1667,31.8273,135.39,-26.0,OK,low_pullback_delta,DELTA_VOLUME_PROFILE,ES_27,,,
390,0.0,257.0,7.0,4447.0,290.7077,312.9911,1168.97,35.0,OK,diag_pos_delta,DELTA_VOLUME_PROFILE,ES_27,,,
390,0.0,269.0,0.0,2215.0,273.4385,229.7914,1187.65,17.45,OK,diag_neg_delta,DELTA_VOLUME_PROFILE,ES_27,,,
390,0.0,385.0,-0.9533,1.0,0.0132,0.3665,0.8888,-0.7399,OK,diag_imbalance,DELTA_VOLUME_PROFILE,ES_27,,,
390,0.0,143.0,0.1111,1.0,0.8742,0.1935,1.0,0.203,OK,low_bid_vol_pct,DELTA_VOLUME_PROFILE,ES_27,,,
390,0.0,139.0,0.0,1.0,0.8854,0.1751,1.0,0.2877,OK,high_ask_vol_pct,DELTA_VOLUME_PROFILE,ES_27,,,
390,0.0,374.0,76.5,4033.5,238.1208,215.9259,553.7688,112.1866,OK,avg_trade_size,DELTA_VOLUME_PROFILE,ES_27,,,
390,0.0,360.0,35.875,2078.4546,129.1631,111.6777,310.1775,59.5203,OK,avg_bid_size,DELTA_VOLUME_PROFILE,ES_27,,,
390,0.0,362.0,40.625,2321.7273,133.1847,125.3996,352.9914,53.6541,OK,avg_ask_size,DELTA_VOLUME_PROFILE,ES_27,,,
