feature,live_val,training_val,diff,status,section,bar_idx,ts
dist_1d_max_atr,-0.233241,-0.233241,0.0,MATCH,ATR-NQ,1354,1776458100000
dist_1d_min_atr,-5.300197,-5.300197,0.0,MATCH,ATR-NQ,1354,1776458100000
dist_blind_nearest_up_atr,1.880237,1.880237,0.0,MATCH,ATR-NQ,1354,1776458100000
dist_comp_20d_vah_atr,-12.920738,-12.920738,0.0,MATCH,ATR-NQ,1354,1776458100000
dist_comp_20d_val_atr,-31.123577,-31.123577,0.0,MATCH,ATR-NQ,1354,1776458100000
dist_comp_20d_vwap_atr,-16.937561,-16.937561,0.0,MATCH,ATR-NQ,1354,1776458100000
dist_comp_50d_vah_atr,-11.995818,-11.995818,0.0,MATCH,ATR-NQ,1354,1776458100000
dist_comp_50d_val_atr,-25.067358,-25.067358,0.0,MATCH,ATR-NQ,1354,1776458100000
dist_comp_50d_vwap_atr,-17.146014,-17.146014,0.0,MATCH,ATR-NQ,1354,1776458100000
dist_cur_vah_atr,-0.082439,-0.082439,0.0,MATCH,ATR-NQ,1354,1776458100000
dist_cur_val_atr,-0.54892,-0.54892,0.0,MATCH,ATR-NQ,1354,1776458100000
dist_cur_vpoc_atr,-0.251337,-0.251337,0.0,MATCH,ATR-NQ,1354,1776458100000
dist_gex_nearest_up_atr,0.552942,0.552942,0.0,MATCH,ATR-NQ,1354,1776458100000
dist_mq_call_0dte_atr,-13.602365,-13.602365,0.0,MATCH,ATR-NQ,1354,1776458100000
dist_mq_call_atr,-2.664173,-2.664173,0.0,MATCH,ATR-NQ,1354,1776458100000
dist_mq_hvl_atr,-12.395946,-12.395946,0.0,MATCH,ATR-NQ,1354,1776458100000
dist_mq_put_0dte_atr,-4.071661,-4.071661,0.0,MATCH,ATR-NQ,1354,1776458100000
dist_mq_put_atr,-22.771142,-22.771142,0.0,MATCH,ATR-NQ,1354,1776458100000
dist_open_830_atr,-2.68227,-2.68227,0.0,MATCH,ATR-NQ,1354,1776458100000
dist_prev_vah_atr,0.418225,0.418225,0.0,MATCH,ATR-NQ,1354,1776458100000
dist_prev_val_atr,-2.847147,-2.847147,0.0,MATCH,ATR-NQ,1354,1776458100000
dist_prev_vwap_sd1d_atr,-2.907389,-2.907389,0.0,MATCH,ATR-NQ,1354,1776458100000
dist_prev_vwap_sd1u_atr,-0.266355,-0.266355,0.0,MATCH,ATR-NQ,1354,1776458100000
dist_sess_high_atr,0.430289,0.430289,0.0,MATCH,ATR-NQ,1354,1776458100000
dist_session_lvn_above_atr,0.048257,0.048257,0.0,MATCH,ATR-NQ,1354,1776458100000
dist_session_lvn_below_atr,0.579081,0.579081,0.0,MATCH,ATR-NQ,1354,1776458100000
dist_swing_high_atr,0.110588,0.110588,0.0,MATCH,ATR-NQ,1354,1776458100000
dist_vwap_d_sd1d_atr,-1.748929,-1.748929,0.0,MATCH,ATR-NQ,1354,1776458100000
dist_vwap_d_sd1u_atr,-0.045838,-0.045838,0.0,MATCH,ATR-NQ,1354,1776458100000
dist_vwap_d_sd2u_atr,0.149844,0.149844,0.0,MATCH,ATR-NQ,1354,1776458100000
dist_vwap_d_sd3u_atr,0.345541,0.345541,0.0,MATCH,ATR-NQ,1354,1776458100000
dist_comp_20d_vpoc_atr,,-21.162584951944346,,MISSING_LIVE,ATR-NQ,1354,1776458100000
dist_comp_50d_vpoc_atr,,-21.162584951944346,,MISSING_LIVE,ATR-NQ,1354,1776458100000
dist_cur_vwap_vp_atr,,-0.9661398640768891,,MISSING_LIVE,ATR-NQ,1354,1776458100000
dist_ext_edge_buy_atr,,-0.004021393815096312,,MISSING_LIVE,ATR-NQ,1354,1776458100000
dist_ext_edge_sell_atr,,0.0,,MISSING_LIVE,ATR-NQ,1354,1776458100000
dist_ext_long_dn_atr,,-0.3639361402662163,,MISSING_LIVE,ATR-NQ,1354,1776458100000
dist_ext_long_up_atr,,-0.3498612619133792,,MISSING_LIVE,ATR-NQ,1354,1776458100000
dist_open_cash_atr,,-2.871275183978767,,MISSING_LIVE,ATR-NQ,1354,1776458100000
dist_ovn_high_atr,,0.1105883299151486,,MISSING_LIVE,ATR-NQ,1354,1776458100000
dist_ovn_low_atr,,-0.6092411629870914,,MISSING_LIVE,ATR-NQ,1354,1776458100000
dist_prev_vpoc_atr,,0.07037439176418547,,MISSING_LIVE,ATR-NQ,1354,1776458100000
