datetime_et,ts,price,valid_bar,partial_session,label,label_quality,setup_type,score_buy,score_sell,realized_pts,tp_pts,sl_pts,hl_mode,schema
2026-03-22 14:00:00-04:00,1774202400000,6522.0,False,False,0,0,BN_LONG_DN,8,11,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:01:00-04:00,1774202460000,6517.75,False,False,0,0,BN_LONG_DN,7,9,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:01:59-04:00,1774202519000,6524.75,False,False,0,0,NONE,8,8,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:03:00-04:00,1774202580000,6536.25,False,False,0,0,CONFLUENCE_SELL,8,9,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:04:00-04:00,1774202640000,6529.25,False,False,0,0,BN_LONG_DN,7,10,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:04:59-04:00,1774202699000,6533.75,True,False,-1,1,CONFLUENCE_SELL,6,7,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:06:00-04:00,1774202760000,6530.25,True,False,1,0,NONE,7,7,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:07:00-04:00,1774202820000,6532.0,True,False,1,0,NONE,8,8,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:08:00-04:00,1774202880000,6536.0,True,False,0,0,NONE,7,7,24.5,2.25,1.25,False,3.7.0
2026-03-22 14:08:59-04:00,1774202939000,6537.25,True,False,-1,0,NONE,8,8,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:10:00-04:00,1774203000000,6534.5,True,False,-1,1,BN_LONG_DN,8,9,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:11:00-04:00,1774203060000,6529.5,True,False,0,1,BN_LONG_UP,9,8,27.5,2.25,1.25,False,3.7.0
2026-03-22 14:11:59-04:00,1774203119000,6528.0,True,False,1,2,CONFLUENCE_BUY,8,6,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:13:00-04:00,1774203180000,6533.75,True,False,1,1,VAH_REJECTION,8,7,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:14:00-04:00,1774203240000,6532.75,True,False,1,0,VAH_REJECTION,7,7,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:14:59-04:00,1774203299000,6535.5,True,False,0,2,CONFLUENCE_BUY,8,6,14.75,2.25,1.25,False,3.7.0
2026-03-22 14:16:00-04:00,1774203360000,6534.75,True,False,1,0,VAH_REJECTION,8,8,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:17:00-04:00,1774203420000,6536.0,True,False,0,1,BN_LONG_DN,9,8,16.0,2.25,1.25,False,3.7.0
2026-03-22 14:17:59-04:00,1774203479000,6535.75,True,False,0,3,BN_LONG_UP,10,7,13.75,2.25,1.25,False,3.7.0
2026-03-22 14:19:00-04:00,1774203540000,6534.25,True,False,1,1,BN_LONG_UP,7,8,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:20:00-04:00,1774203600000,6535.0,True,False,1,0,VAH_REJECTION,8,8,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:20:59-04:00,1774203659000,6538.5,True,False,1,2,BN_LONG_DN,10,8,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:22:00-04:00,1774203720000,6542.0,True,False,1,1,CONFLUENCE_BUY,9,8,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:23:00-04:00,1774203780000,6547.0,True,False,1,2,BN_LONG_DN,8,10,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:24:00-04:00,1774203840000,6548.75,True,False,1,1,RVOL_SPIKE_SELL,8,9,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:24:59-04:00,1774203899000,6551.75,True,False,1,3,BN_LONG_DN,10,7,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:26:00-04:00,1774203960000,6555.75,True,False,1,0,BN_LONG_DN,8,8,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:27:00-04:00,1774204020000,6555.5,True,False,1,0,BN_LONG_DN,7,7,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:27:59-04:00,1774204079000,6560.5,True,False,-1,1,CONFLUENCE_BUY,8,7,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:29:00-04:00,1774204140000,6555.0,True,False,1,2,BN_LONG_DN,7,9,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:30:00-04:00,1774204200000,6559.0,True,False,-1,4,CONFLUENCE_BUY,10,6,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:30:59-04:00,1774204259000,6557.0,True,False,-1,1,CONFLUENCE_SELL,7,8,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:32:00-04:00,1774204320000,6553.5,True,False,-1,1,BN_LONG_DN,8,9,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:33:00-04:00,1774204380000,6552.5,True,False,-1,1,BN_LONG_UP,8,7,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:33:59-04:00,1774204439000,6548.75,True,False,1,4,CONFLUENCE_SELL,6,10,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:35:00-04:00,1774204500000,6550.25,True,False,0,2,CONFLUENCE_BUY,8,6,-2.0,2.25,1.25,False,3.7.0
2026-03-22 14:36:00-04:00,1774204560000,6549.25,True,False,1,3,CONFLUENCE_SELL,6,9,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:36:59-04:00,1774204619000,6552.0,True,False,-1,2,CONFLUENCE_BUY,8,6,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:38:00-04:00,1774204680000,6549.5,True,False,-1,3,CONFLUENCE_SELL,6,9,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:39:00-04:00,1774204740000,6546.75,True,False,1,3,VAH_REJECTION,6,9,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:40:00-04:00,1774204800000,6550.0,True,False,-1,3,BN_LONG_UP,9,6,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:40:59-04:00,1774204859000,6547.5,True,False,-1,5,BN_LONG_DN,6,11,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:42:00-04:00,1774204920000,6546.75,True,False,-1,1,VAH_REJECTION,7,8,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:43:00-04:00,1774204980000,6544.25,True,False,1,0,NONE,8,8,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:43:59-04:00,1774205039000,6544.25,True,False,1,2,CONFLUENCE_BUY,8,6,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:45:00-04:00,1774205100000,6546.0,True,False,0,4,BN_LONG_UP,10,6,8.25,2.25,1.25,False,3.7.0
2026-03-22 14:46:00-04:00,1774205160000,6547.5,True,False,-1,3,BN_LONG_DN,10,7,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:46:59-04:00,1774205219000,6544.75,True,False,1,4,CONFLUENCE_BUY,9,5,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:48:00-04:00,1774205280000,6546.0,True,False,1,3,VAH_REJECTION,9,6,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:49:00-04:00,1774205340000,6546.75,True,False,1,2,VAH_REJECTION,9,7,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:49:59-04:00,1774205399000,6550.75,True,False,-1,5,CONFLUENCE_BUY,10,5,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:51:00-04:00,1774205460000,6548.75,True,False,-1,0,BN_LONG_DN,9,9,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:52:00-04:00,1774205520000,6549.75,True,False,-1,2,VAH_REJECTION,9,7,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:53:00-04:00,1774205580000,6549.75,True,False,-1,1,VAH_REJECTION,7,8,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:53:59-04:00,1774205639000,6547.0,True,False,1,2,BN_LONG_DN,8,10,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:55:00-04:00,1774205700000,6548.25,True,False,-1,1,BN_LONG_DN,7,8,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:56:00-04:00,1774205760000,6549.0,True,False,-1,1,BN_LONG_UP,8,7,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:56:59-04:00,1774205819000,6549.25,True,False,-1,1,VAH_REJECTION,8,7,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:58:00-04:00,1774205880000,6545.25,True,False,1,2,BN_LONG_DN,7,9,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:59:00-04:00,1774205940000,6546.5,True,False,1,1,VAH_REJECTION,8,7,2.25,2.25,1.25,False,3.7.0
2026-03-22 14:59:59-04:00,1774205999000,6549.25,True,False,1,4,BN_LONG_UP,10,6,2.25,2.25,1.25,False,3.7.0
2026-03-22 15:01:00-04:00,1774206060000,6552.0,True,False,1,5,CONFLUENCE_BUY,10,5,2.25,2.25,1.25,False,3.7.0
2026-03-22 15:02:00-04:00,1774206120000,6553.25,True,False,1,4,BN_LONG_DN,10,6,2.25,2.25,1.25,False,3.7.0
2026-03-22 15:02:59-04:00,1774206179000,6554.0,True,False,0,5,CONFLUENCE_BUY,10,5,-5.75,2.25,1.25,False,3.7.0
2026-03-22 15:04:00-04:00,1774206240000,6553.25,True,False,1,4,CONFLUENCE_BUY,9,5,2.25,2.25,1.25,False,3.7.0
2026-03-22 15:05:00-04:00,1774206300000,6554.25,True,False,0,5,CONFLUENCE_BUY,10,5,-6.0,2.25,1.25,False,3.7.0
2026-03-22 15:05:59-04:00,1774206359000,6552.75,True,False,1,2,CONFLUENCE_BUY,9,7,2.25,2.25,1.25,False,3.7.0
2026-03-22 15:07:00-04:00,1774206420000,6554.0,True,False,0,4,CONFLUENCE_BUY,10,6,-6.0,2.25,1.25,False,3.7.0
2026-03-22 15:08:00-04:00,1774206480000,6552.5,True,False,1,4,CONFLUENCE_BUY,10,6,2.25,2.25,1.25,False,3.7.0
2026-03-22 15:09:00-04:00,1774206540000,6554.25,True,False,1,7,CONFLUENCE_BUY,12,5,2.25,2.25,1.25,False,3.7.0
2026-03-22 15:09:59-04:00,1774206599000,6554.75,True,False,1,7,BN_LONG_UP,12,5,2.25,2.25,1.25,False,3.7.0
2026-03-22 15:11:00-04:00,1774206660000,6554.75,True,False,1,4,BN_LONG_DN,11,7,2.25,2.25,1.25,False,3.7.0
2026-03-22 15:12:00-04:00,1774206720000,6556.5,True,False,-1,8,BN_LONG_UP,13,5,2.25,2.25,1.25,False,3.7.0
2026-03-22 15:12:59-04:00,1774206779000,6556.5,True,False,-1,4,CONFLUENCE_BUY,9,5,2.25,2.25,1.25,False,3.7.0
2026-03-22 15:14:00-04:00,1774206840000,6556.25,True,False,-1,4,CONFLUENCE_BUY,9,5,2.25,2.25,1.25,False,3.7.0
2026-03-22 15:15:00-04:00,1774206900000,6557.25,True,False,-1,8,CONFLUENCE_BUY,12,4,2.25,2.25,1.25,False,3.7.0
2026-03-22 15:15:59-04:00,1774206959000,6554.5,True,False,-1,2,BN_LONG_DN,10,8,2.25,2.25,1.25,False,3.7.0
2026-03-22 15:17:00-04:00,1774207020000,6555.25,True,False,-1,5,BN_LONG_DN,10,5,2.25,2.25,1.25,False,3.7.0
2026-03-22 15:18:00-04:00,1774207080000,6553.5,True,False,-1,3,CONFLUENCE_BUY,10,7,2.25,2.25,1.25,False,3.7.0
2026-03-22 15:18:59-04:00,1774207139000,6549.75,True,False,-1,1,RVOL_SPIKE_SELL,10,11,2.25,2.25,1.25,False,3.7.0
2026-03-22 15:20:00-04:00,1774207200000,6548.5,True,False,-1,1,BN_LONG_DN,8,9,2.25,2.25,1.25,False,3.7.0
2026-03-22 15:21:00-04:00,1774207260000,6547.5,True,False,0,1,CONFLUENCE_SELL,8,9,-3.0,2.25,1.25,False,3.7.0
