feature,mdi,mda
dist_ext_edge_sell,152,0.01815837937384899
ctx_vwap_slope_accel,198,0.017348066298342568
ctx_poc_migration_10,147,0.015138121546961347
ctx_vol_sell_buy_ratio_5,237,0.015101289134438312
dist_prev_vwap_sd1u,104,0.01473296500920811
im_volume_lead,158,0.014327808471454883
ctx_range_vs_atr_10,202,0.01410681399631678
im_price_ratio_slope_10,233,0.01322283609576429
rvol,173,0.013112338858195228
momentum_5b,126,0.012670349907918998
next_wall_dist_ticks,164,0.011970534069981598
dist_session_lvn_above,163,0.011233885819521205
ctx_va_developing_10,144,0.010718232044198906
bn_score_bear,42,0.009723756906077363
dist_session_lvn_below,141,0.009392265193370187
dist_sess_low,105,0.009355432780847139
bars_since_retest_low,90,0.009281767955801124
swing_range_ticks,143,0.008360957642725608
dist_swing_high,175,0.008287292817679582
ctx_price_slope_5,127,0.0072928176795580505
dist_vix_gex_nearest_dn,105,0.006556169429097636
lvn_confluence_count,32,0.006372007366482524
ctx_dist_vwap_velocity,117,0.006261510128913472
bn_score_raw,63,0.005819521178637222
ctx_day_type_intensity,135,0.005082872928176807
dist_cur_vah,110,0.005009208103130769
diag_imbalance,83,0.004898710865561706
dist_vix_call_0dte,70,0.004419889502762453
ctx_va_position_velocity,77,0.004346224677716404
dist_comp_20d_vpoc,92,0.0041252302025782785
ctx_delta_slope_5,98,0.0040147329650092045
im_cross_delta_agreement_5,44,0.0038674033149171507
vwap_slope_30,128,0.003572744014732987
dist_1d_min_ticks,51,0.0032780847145488013
vah_touches_20b,69,0.003130755064456736
dist_cur_vwap_vp,125,0.002983425414364649
ask_bid_imbalance,39,0.0028729281767955863
dist_blind_nearest_up,110,0.002799263351749559
poc_separation_ticks,54,0.0026151012891344693
dist_comp_50d_vah,64,0.002467771639042382
ctx_excess_low_bars,40,0.0024309392265193684
bid_pct,20,0.00202578268876612
ask_pct,19,0.0019152854511970685
dist_prev_vpoc,46,0.0018047882136280168
dist_vix_put_0dte,33,0.0014732965009208287
dist_mq_call,49,0.0013996316758748018
bn_absorb_bid,7,0.001031307550644589
dist_vwap_d,41,0.001031307550644589
dist_sess_high,108,0.0009944751381215644
dist_vix_put,68,0.0008839779005525128
amd_po3_score,28,0.000773480662983439
bn_pressure_bid,13,0.0007734806629834279
delta_bar_vol_norm,7,0.0007366482504604366
profile_shape,8,0.0007366482504604255
next_wall_is_call,17,0.0006998158379374009
dist_ext_long_dn,43,0.0006629834254143652
dist_comp_50d_vpoc,12,0.0005893186003683492
dist_mq_call_0dte,44,0.0005524861878453358
is_double_dist,10,0.0005156537753222889
rvol_absorb_buy,3,0.00047882136279928653
vix_above_hvl_0dte,2,0.00044198895027625085
buy_sell_ratio,4,0.00040515653775325956
dist_comp_20d_vah,85,0.00033149171270718814
ctx_climax_signal,5,0.0002578268876611611
amd_asia_range_ticks,2,0.0002578268876611611
val_touches_20b,60,0.00011049723756907381
new_swing_high,7,3.683241252304681e-05
amd_session_bias,5,3.6832412523024606e-05
comp_vpoc_align_day_20,2,0.0
cvd_day_dir,0,0.0
amd_asia_low,0,0.0
big_ask_cluster_20t_t2,0,0.0
fp_edge_buy,0,0.0
bool_above_mq_hvl,0,0.0
amd_dist_dir,0,0.0
amd_manip_dir,0,0.0
rvol_extreme,0,0.0
open_zone,1,0.0
bn_color_up_2,2,0.0
open_in_prev_va,3,0.0
n_big_ask_t3,0,0.0
big_ask_cluster_20t_t3,0,0.0
amd_po3_bullish,0,0.0
ib_complete,1,0.0
ctx_poor_high,0,0.0
delta_pct,1,0.0
bool_above_vwap_m,0,0.0
dist_big_bid_nearest_dn,0,0.0
vwap_m_side,0,0.0
bool_session_early,0,0.0
bool_va_confluence,0,0.0
bar_long_dn_bar,1,0.0
dist_big_ask_nearest_dn,0,0.0
rvol_buy,1,0.0
retest_low_delta_div,0,0.0
amd_dist_confirmed,0,0.0
bn_absorb_ask,21,-3.68324125229913e-05
ib_broken_up,1,-7.3664825046027e-05
rvol_regime,2,-0.000147329650092054
amd_dist_score,5,-0.0002946593001841302
