feature,mdi,mda
ctx_vol_sell_buy_ratio_5,200,0.019926335174953937
im_price_ratio_slope_10,232,0.017605893186003675
rvol,195,0.017495395948434623
im_volume_lead,141,0.015653775322283615
dist_ext_edge_sell,137,0.013848987108655597
dist_swing_high,227,0.01307550644567218
bars_since_retest_low,120,0.012596685082872938
ctx_range_vs_atr_10,234,0.012412523020257804
ctx_vwap_slope_accel,251,0.011344383057090224
ctx_poc_migration_10,112,0.01049723756906078
dist_session_lvn_below,169,0.009208103130755063
dist_sess_low,97,0.009134438305709026
momentum_5b,138,0.009060773480662986
ctx_va_developing_10,160,0.008950276243093913
dist_session_lvn_above,151,0.008655616942909738
ctx_day_type_intensity,127,0.007845303867403309
dist_cur_vah,155,0.007366482504604044
vwap_slope_30,185,0.007219152854511979
next_wall_dist_ticks,149,0.007071823204419891
dist_vix_gex_nearest_dn,118,0.0069981583793738535
ctx_price_slope_5,153,0.006445672191528551
diag_imbalance,114,0.006261510128913439
dist_blind_nearest_up,165,0.006077348066298338
dist_comp_20d_vpoc,134,0.0060036832412523
ctx_delta_slope_5,102,0.005782688766114152
dist_prev_vwap_sd1u,112,0.005709023941068125
ctx_dist_vwap_velocity,125,0.0055616942909760495
dist_cur_vwap_vp,109,0.0053406998158379345
bn_absorb_ask,30,0.004272559852670344
vah_touches_20b,69,0.00416206261510127
dist_vix_put,132,0.0036464088397790027
ctx_va_position_velocity,103,0.0036464088397789806
swing_range_ticks,124,0.0034990791896869155
dist_sess_high,110,0.003093922651933689
bn_score_raw,58,0.002946593001841613
poc_separation_ticks,74,0.002799263351749537
dist_vix_call_0dte,59,0.002504604051565373
dist_mq_call_0dte,52,0.002430939226519324
dist_comp_20d_vah,111,0.0023941068139962996
dist_ext_long_dn,59,0.002283609576427237
im_cross_delta_agreement_5,49,0.0021731123388582076
dist_prev_vpoc,63,0.0021362799263351826
ask_pct,31,0.002062615101289145
bn_score_bear,28,0.0019521178637200598
val_touches_20b,47,0.001915285451197035
dist_vix_put_0dte,54,0.0015469613259668446
bid_pct,24,0.0015101289134438311
ask_bid_imbalance,65,0.0014732965009207955
dist_mq_call,63,0.0012523020257826922
dist_vwap_d,37,0.0012523020257826812
ctx_excess_low_bars,46,0.0012523020257826701
dist_comp_50d_vpoc,38,0.0010313075506445668
dist_comp_50d_vah,49,0.0009576427255985065
ib_complete,5,0.000662983425414354
delta_bar_vol_norm,13,0.0006261510128913739
lvn_confluence_count,4,0.0005524861878453358
ib_broken_up,3,0.0005524861878453246
amd_po3_score,20,0.0005156537753222889
next_wall_is_call,12,0.0005156537753222889
bn_absorb_bid,13,0.0004788213627992755
profile_shape,8,0.0004419889502762731
rvol_extreme,11,0.00040515653775324845
amd_dist_score,3,0.0003314917127072214
rvol_regime,6,0.00033149171270721036
bn_color_up_2,4,0.0003314917127071659
dist_1d_min_ticks,27,0.0002946593001841635
ctx_poor_high,4,0.00014732965009209842
is_double_dist,3,0.00011049723756907381
buy_sell_ratio,1,7.366482504604921e-05
bool_va_confluence,4,7.366482504603811e-05
rvol_buy,1,3.6832412523024606e-05
big_ask_cluster_20t_t2,0,0.0
amd_po3_bullish,0,0.0
bar_long_dn_bar,0,0.0
amd_manip_dir,0,0.0
bool_above_mq_hvl,0,0.0
amd_dist_dir,1,0.0
amd_asia_range_ticks,2,0.0
vix_above_hvl_0dte,1,0.0
amd_session_bias,0,0.0
amd_asia_low,0,0.0
fp_edge_buy,0,0.0
n_big_ask_t3,0,0.0
open_in_prev_va,3,0.0
delta_pct,2,0.0
rvol_absorb_buy,0,0.0
new_swing_high,0,0.0
dist_big_bid_nearest_dn,0,0.0
bool_above_vwap_m,0,0.0
vwap_m_side,0,0.0
bool_session_early,4,0.0
big_ask_cluster_20t_t3,0,0.0
comp_vpoc_align_day_20,0,0.0
dist_big_ask_nearest_dn,0,0.0
retest_low_delta_div,0,0.0
amd_dist_confirmed,0,0.0
ctx_climax_signal,5,-7.366482504604921e-05
bn_pressure_bid,1,-0.00011049723756907381
cvd_day_dir,2,-0.00022099447513814762
open_zone,7,-0.00044198895027625085
