feature,family,subfamily,status,reasons,is_event_based,n_total,null_pct,n_unique,top_value,top_freq_pct,std
_aggressor_source,META,0b_pipeline_meta,DEAD,CONSTANT | top_freq>100%,False,11762,4.17,1,'sierra_proxy_count',100.0,0.0
_mq_gamma_source,META,0b_pipeline_meta,DEAD,CONSTANT | top_freq>100%,False,11762,0.0,1,'sierra_proxy_v2',100.0,0.0
_phase3_bars_processed,META,0b_pipeline_meta,ALIVE,,False,11762,0.0,1932,1,0.14,394.7279439345584
_phase3_enriched,META,0b_pipeline_meta,DEAD,CONSTANT | top_freq>100%,False,11762,0.0,1,True,100.0,0.0
above_open_830,3_IB_OVERNIGHT,3_bool,DEAD,std<0.00e+00,False,11762,0.0,2,True,54.09,0.0
above_open_cash,3_IB_OVERNIGHT,3_bool,DEAD,std<0.00e+00,False,11762,0.0,2,False,88.55,0.0
after_high,3_IB_OVERNIGHT,3_sessions_levels,DEAD,NULL>98%,False,11762,97.68,22,7279.25,44.69,73.5025773996667
after_low,3_IB_OVERNIGHT,3_sessions_levels,DEAD,NULL>98%,False,11762,97.68,13,7390.25,32.6,75.87836855827408
after_open,3_IB_OVERNIGHT,3_sessions_levels,DEAD,NULL>98%,False,11762,97.68,5,7271.25,44.69,71.76251068299447
aggressor_imbalance,5_ORDER_FLOW,5b_microstructure,ALIVE,,False,11762,4.17,1511,0.0,23.15,0.07638314900255092
asia_high,3_IB_OVERNIGHT,3_sessions_levels,ALIVE,,False,11762,18.93,143,7319.0,22.96,83.25288478098183
asia_low,3_IB_OVERNIGHT,3_sessions_levels,ALIVE,,False,11762,18.93,98,7384.5,16.47,90.99892740673378
asia_open,3_IB_OVERNIGHT,3_sessions_levels,ALIVE,,False,11762,18.93,16,7405.0,11.16,90.09569833032091
ask_bid_imbalance,5_ORDER_FLOW,5b_imbalance,ALIVE,,False,11762,0.0,2919,0.0,1.02,0.17974889756509593
ask_pct,5_ORDER_FLOW,5b_imbalance,ALIVE,,False,11762,0.0,2319,0.5,1.02,0.0898749939051242
atr,9_VOLATILITY_VIX,9_atr,ALIVE,,False,11762,0.0,228,104.55,15.87,9.85059532133366
atr_14m,9_VOLATILITY_VIX,9_atr,ALIVE,,False,11762,0.0,504,0.0,4.08,8.061735533810419
atr_14m_pct,9_VOLATILITY_VIX,9_atr,ALIVE,,False,11762,0.0,986,0.0,4.08,0.027543131293642675
avg_ask_size,5_ORDER_FLOW,5b_trader,ALIVE,,False,11762,0.0,2493,11.0,0.86,28.681383014349485
avg_bid_size,5_ORDER_FLOW,5b_trader,ALIVE,,False,11762,0.0,2486,9.0,1.23,27.825028555382655
avg_trade_size,5_ORDER_FLOW,5b_trader,ALIVE,,False,11762,0.0,2995,27.0,0.71,54.573579923198
bar_body_pct,1_MARKET_STRUCTURE,1a_bar_microstructure,ALIVE,,False,11762,0.0,634,0.0,7.02,54.93809948931085
