feature,family,subfamily,status,reasons,is_event_based,n_total,null_pct,n_unique,top_value,top_freq_pct,std
_aggressor_source,META,0b_pipeline_meta,DEAD,CONSTANT | top_freq>100%,False,15169,20.21,1,'sierra_proxy_count',100.0,0.0
_mq_gamma_source,META,0b_pipeline_meta,DEAD,CONSTANT | top_freq>100%,False,15169,15.82,1,'sierra_proxy_v2',100.0,0.0
_phase3_bars_processed,META,0b_pipeline_meta,ALIVE,,False,15169,0.0,1914,1,0.15,360.0419961921939
_phase3_enriched,META,0b_pipeline_meta,DEAD,CONSTANT | top_freq>100%,False,15169,0.0,1,True,100.0,0.0
above_open_830,3_IB_OVERNIGHT,3_bool,DEAD,std<0.00e+00,False,15169,0.0,2,False,51.18,0.0
above_open_cash,3_IB_OVERNIGHT,3_bool,DEAD,std<0.00e+00,False,15169,0.0,2,False,87.35,0.0
after_high,3_IB_OVERNIGHT,3_sessions_levels,DEAD,NULL>97%,False,15169,96.6,22,28536.75,71.07,484.44058299374024
after_low,3_IB_OVERNIGHT,3_sessions_levels,DEAD,NULL>97%,False,15169,96.6,12,28433.0,47.77,492.3115732146905
after_open,3_IB_OVERNIGHT,3_sessions_levels,DEAD,NULL>97%,False,15169,96.6,3,28503.25,71.07,464.0094720968405
aggressor_imbalance,5_ORDER_FLOW,5b_microstructure,ALIVE,,False,15169,20.21,4051,0.0,1.79,0.19419159181250242
asia_high,3_IB_OVERNIGHT,3_sessions_levels,ALIVE,,False,15169,33.42,161,28813.75,24.67,537.2182752675787
asia_low,3_IB_OVERNIGHT,3_sessions_levels,ALIVE,,False,15169,33.42,124,28531.25,18.92,579.3143100100275
asia_open,3_IB_OVERNIGHT,3_sessions_levels,ALIVE,,False,15169,33.42,17,29525.75,10.52,575.2993623856942
ask_bid_imbalance,5_ORDER_FLOW,5b_imbalance,ALIVE,,False,15169,0.0,2641,0.0,1.65,0.23899557372518035
ask_pct,5_ORDER_FLOW,5b_imbalance,ALIVE,,False,15169,0.0,2260,0.5,1.65,0.11949875622794337
atr,9_VOLATILITY_VIX,9_atr,ALIVE,,False,15169,0.0,245,692.41,12.08,55.98104338868111
atr_14m,9_VOLATILITY_VIX,9_atr,ALIVE,,False,15169,0.0,1908,0.0,3.17,58.95204261967991
atr_14m_pct,9_VOLATILITY_VIX,9_atr,ALIVE,,False,15169,0.0,1444,0.0,3.17,0.05110735620898626
avg_ask_size,5_ORDER_FLOW,5b_trader,ALIVE,,False,15169,0.0,2305,2.0,1.98,1.625300517911063
avg_bid_size,5_ORDER_FLOW,5b_trader,ALIVE,,False,15169,0.0,2276,1.0,2.04,1.6087112785430329
avg_trade_size,5_ORDER_FLOW,5b_trader,ALIVE,,False,15169,0.0,2943,2.0,1.08,3.061479017284987
bar_body_pct,1_MARKET_STRUCTURE,1a_bar_microstructure,ALIVE,,False,15169,0.0,2820,0.0,0.87,55.265028398238904
bar_body_ticks,1_MARKET_STRUCTURE,1a_bar_microstructure,ALIVE,,False,15169,0.0,452,12.0,1.29,72.16659603731348
bar_color_dn,6_SIERRA_BN,6_bar_color,ALIVE,,False,15169,0.0,2,0,85.54,0.35173456091650074
bar_color_up,6_SIERRA_BN,6_bar_color,ALIVE,,False,15169,0.0,2,0,87.85,0.32670487935961
bar_duration_sec,5_ORDER_FLOW,5b_volume_abs,ALIVE,,False,15169,0.0,36,60.0,46.24,2.8685442530290097
bar_edge_buy,6_SIERRA_BN,6_edge,ALIVE,,False,15169,0.0,2,1,73.76,0.43996220128493074
bar_edge_buy_fire,6_SIERRA_BN,6_edge,ALIVE,,False,15169,47.17,2,1,70.1,0.4578096430713598
bar_edge_sell,6_SIERRA_BN,6_edge,ALIVE,,False,15169,0.0,2,1,72.96,0.44414267972401555
bar_edge_sell_fire,6_SIERRA_BN,6_edge,ALIVE,,False,15169,47.17,2,1,69.7,0.4595422737997781
bar_high,META,0a_bar_meta,ALIVE,,False,15169,0.0,3036,28773.0,0.28,526.160902366333
bar_long_dn_bar,6_SIERRA_BN,6_bar_long,ALIVE,,False,15169,0.0,2,0,72.02,0.4489239150088553
bar_long_dn_up,6_SIERRA_BN,6_bar_long,ALIVE,,False,15169,0.0,2,0,93.61,0.24465708411242043
bar_long_up_bar,6_SIERRA_BN,6_bar_long,ALIVE,,False,15169,0.0,2,0,75.35,0.43096688071969713
bar_long_up_dn,6_SIERRA_BN,6_bar_long,ALIVE,,False,15169,0.0,2,0,92.97,0.25560974317105756
bar_low,META,0a_bar_meta,ALIVE,,False,15169,0.0,3075,28727.5,0.3,530.4636226546415
bar_lower_wick_pct,1_MARKET_STRUCTURE,1a_bar_microstructure,ALIVE,,False,15169,0.0,676,0.0,11.63,0.02162262049303884
bar_no_trade,1_MARKET_STRUCTURE,1a_bar_microstructure,DEAD,CONSTANT | top_freq>100%,False,15169,0.0,1,0,100.0,0.0
bar_pressure_ask,6_SIERRA_BN,6_bar_pressure,ALIVE,,False,15169,0.0,2,0,89.29,0.3092738522609474
bar_pressure_bid,6_SIERRA_BN,6_bar_pressure,ALIVE,,False,15169,0.0,2,0,90.0,0.30000878965530947
bar_upper_wick_pct,1_MARKET_STRUCTURE,1a_bar_microstructure,ALIVE,,False,15169,0.0,681,0.0,11.66,0.02145785716403872
bars_in_va,1_MARKET_STRUCTURE,1b_vp_current_range,ALIVE,,False,15169,0.0,234,0.0,55.87,48.2726186561639
bars_since_boot,META,0c_observability,ALIVE,,False,15169,57.68,1914,1,0.11,459.9963963321256
bars_since_last_sweep_high,OTHER,unclassified,ALIVE,,False,15169,88.15,20,1,17.42,5.312026490038597
bars_since_last_sweep_low,OTHER,unclassified,ALIVE,,False,15169,89.02,20,1,17.23,5.388796360478987
bars_since_last_swing_high,1_MARKET_STRUCTURE,1c_swing,ALIVE,,False,15169,38.33,395,0,1.29,79.5646596207927
bars_since_last_swing_low,1_MARKET_STRUCTURE,1c_swing,ALIVE,,False,15169,36.52,418,0,0.67,95.36269695105639
bars_since_london_open,OTHER,unclassified,ALIVE,,False,15169,90.56,389,0,0.35,102.7502644779349
bars_since_retest_high,1_MARKET_STRUCTURE,1c_retest,ALIVE,,False,15169,77.41,98,1.0,8.35,16.94474557982335
bars_since_retest_low,1_MARKET_STRUCTURE,1c_retest,ALIVE,,False,15169,88.5,67,1.0,9.57,8.989750040084749
bid_pct,5_ORDER_FLOW,5b_imbalance,ALIVE,,False,15169,0.0,2261,0.5,1.65,0.11949876009091612
big_ask_cluster_20t,5_ORDER_FLOW,5c_big_clusters,ALIVE,,False,15169,0.0,26,0.0,30.9,4.259022081825051
big_ask_cluster_20t_t1,5_ORDER_FLOW,5c_big_clusters,ALIVE,,False,15169,0.0,19,0.0,30.9,3.8412991050902456
big_ask_cluster_20t_t2,5_ORDER_FLOW,5c_big_clusters,ALIVE,,False,15169,0.0,15,0.0,80.09,0.8090316075341943
big_ask_cluster_20t_t3,5_ORDER_FLOW,5c_big_clusters,DEAD,top_freq>96%,False,15169,0.0,4,0.0,96.41,0.2215721810298863
big_ask_cluster_20t_t4,5_ORDER_FLOW,5c_big_clusters,DEAD,CONSTANT | top_freq>100%,False,15169,0.0,1,0.0,100.0,0.0
big_ask_cluster_50t,5_ORDER_FLOW,5c_big_clusters,ALIVE,,False,15169,0.0,31,0.0,17.17,5.228298408365234
big_bid_cluster_20t,5_ORDER_FLOW,5c_big_clusters,ALIVE,,False,15169,0.0,28,0.0,31.3,4.225450394014114
big_bid_cluster_20t_t1,5_ORDER_FLOW,5c_big_clusters,ALIVE,,False,15169,0.0,18,0.0,31.3,3.8245591933068286
big_bid_cluster_20t_t2,5_ORDER_FLOW,5c_big_clusters,ALIVE,,False,15169,0.0,15,0.0,82.5,0.7609945668267043
big_bid_cluster_20t_t3,5_ORDER_FLOW,5c_big_clusters,DEAD,top_freq>98%,False,15169,0.0,6,0.0,98.07,0.17446031264036418
