feature,family,subfamily,data_type,dtype_observed,n_total,n_null_pct,n_unique,top_value,top_freq_pct,has_negative
_aggressor_source,META,0b_pipeline_meta,categorical,str,1256,0.0,1,'sierra_proxy_count',100.0,False
_mq_gamma_source,META,0b_pipeline_meta,categorical,str,1256,0.0,1,'sierra_proxy_v2',100.0,False
_phase3_bars_processed,META,0b_pipeline_meta,continuous,float,1256,0.0,1256,1183,0.08,False
_phase3_enriched,META,0b_pipeline_meta,binary,bool,1256,0.0,1,True,100.0,False
above_open_830,3_IB_OVERNIGHT,3_bool,binary,bool,1256,0.0,2,True,59.63,False
above_open_cash,3_IB_OVERNIGHT,3_bool,binary,bool,1256,0.0,1,False,100.0,False
after_high,3_IB_OVERNIGHT,3_sessions_levels,event,null_only,1256,100.0,0,None,0.0,False
after_low,3_IB_OVERNIGHT,3_sessions_levels,event,null_only,1256,100.0,0,None,0.0,False
after_open,3_IB_OVERNIGHT,3_sessions_levels,event,null_only,1256,100.0,0,None,0.0,False
aggressor_imbalance,5_ORDER_FLOW,5b_microstructure,continuous,float,1256,0.0,529,0.0,5.02,True
asia_high,3_IB_OVERNIGHT,3_sessions_levels,continuous,float,1256,2.23,44,30257.75,58.79,False
asia_low,3_IB_OVERNIGHT,3_sessions_levels,continuous,float,1256,2.23,4,29965.5,60.91,False
asia_open,3_IB_OVERNIGHT,3_sessions_levels,continuous,float,1256,2.23,2,30030.0,60.91,False
ask_bid_imbalance,5_ORDER_FLOW,5b_imbalance,continuous,float,1256,0.0,397,0.0,4.62,True
ask_pct,5_ORDER_FLOW,5b_imbalance,continuous,float,1256,0.0,396,0.5,4.62,False
atr,9_VOLATILITY_VIX,9_atr,continuous,float,1256,0.0,58,758.64,35.51,False
atr_14m,9_VOLATILITY_VIX,9_atr,continuous,float,1256,0.0,402,37.29,0.88,False
atr_14m_pct,9_VOLATILITY_VIX,9_atr,continuous,float,1256,0.0,294,0.0243,1.19,False
avg_ask_size,5_ORDER_FLOW,5b_trader,continuous,float,1256,0.0,225,1.0,7.48,False
avg_bid_size,5_ORDER_FLOW,5b_trader,continuous,float,1256,0.0,218,1.0,11.39,False
avg_trade_size,5_ORDER_FLOW,5b_trader,continuous,float,1256,0.0,359,2.0,5.81,False
bar_body_pct,1_MARKET_STRUCTURE,1a_bar_microstructure,continuous,float,1256,0.0,498,100.0,4.14,True
bar_body_ticks,1_MARKET_STRUCTURE,1a_bar_microstructure,continuous,float,1256,0.0,125,-7.0,2.55,True
bar_color_dn,6_SIERRA_BN,6_bar_color,binary,int,1256,0.0,2,0,90.84,False
bar_color_up,6_SIERRA_BN,6_bar_color,binary,int,1256,0.0,2,0,92.12,False
bar_duration_sec,5_ORDER_FLOW,5b_volume_abs,continuous,float,1256,0.0,36,59.0,20.62,False
bar_edge_buy,6_SIERRA_BN,6_edge,binary,int,1256,0.0,2,1,64.41,False
bar_edge_buy_fire,6_SIERRA_BN,6_edge,binary,int,1256,0.0,2,1,64.41,False
bar_edge_sell,6_SIERRA_BN,6_edge,binary,int,1256,0.0,2,1,62.42,False
bar_edge_sell_fire,6_SIERRA_BN,6_edge,binary,int,1256,0.0,2,1,62.42,False
bar_high,META,0a_bar_meta,continuous,float,1256,0.0,471,30239.0,0.96,False
bar_long_dn_bar,6_SIERRA_BN,6_bar_long,binary,int,1256,0.0,2,0,89.17,False
bar_long_dn_up,6_SIERRA_BN,6_bar_long,binary,int,1256,0.0,2,0,97.77,False
bar_long_up_bar,6_SIERRA_BN,6_bar_long,binary,int,1256,0.0,2,0,89.57,False
bar_long_up_dn,6_SIERRA_BN,6_bar_long,binary,int,1256,0.0,2,0,97.53,False
bar_low,META,0a_bar_meta,continuous,float,1256,0.0,484,30222.0,0.8,False
bar_lower_wick_pct,1_MARKET_STRUCTURE,1a_bar_microstructure,continuous,float,1256,0.0,73,0.0,26.83,False
bar_no_trade,1_MARKET_STRUCTURE,1a_bar_microstructure,event,constant,1256,0.0,1,0,100.0,False
bar_pressure_ask,6_SIERRA_BN,6_bar_pressure,binary,int,1256,0.0,2,0,90.53,False
bar_pressure_bid,6_SIERRA_BN,6_bar_pressure,binary,int,1256,0.0,2,0,94.82,False
bar_upper_wick_pct,1_MARKET_STRUCTURE,1a_bar_microstructure,continuous,float,1256,0.0,70,0.0,29.7,False
bars_in_va,1_MARKET_STRUCTURE,1b_vp_current_range,continuous,float,1256,0.0,29,0.0,93.63,False
bars_since_boot,META,0c_observability,continuous,float,1256,0.0,1256,1183,0.08,False
bars_since_last_sweep_high,OTHER,unclassified,continuous,float,1256,39.81,20,1,16.01,False
bars_since_last_sweep_low,OTHER,unclassified,continuous,float,1256,50.08,20,1,15.47,False
bars_since_last_swing_high,1_MARKET_STRUCTURE,1c_swing,continuous,float,1256,3.18,156,7,1.48,False
bars_since_last_swing_low,1_MARKET_STRUCTURE,1c_swing,continuous,float,1256,45.94,331,0,0.74,False
bars_since_london_open,OTHER,unclassified,continuous,float,1256,45.7,327,0,0.44,False
bars_since_retest_high,1_MARKET_STRUCTURE,1c_retest,continuous,float,1256,61.62,41,1.0,12.45,False
bars_since_retest_low,1_MARKET_STRUCTURE,1c_retest,continuous,float,1256,88.93,12,1.0,14.39,False
bid_pct,5_ORDER_FLOW,5b_imbalance,continuous,float,1256,0.0,396,0.5,4.62,False
