feature,family,subfamily,status,reasons,is_event_based,n_total,null_pct,n_unique,top_value,top_freq_pct,std
_aggressor_source,META,0b_pipeline_meta,DEAD,CONSTANT | top_freq>100%,False,13338,3.67,1,'sierra_proxy_count',100.0,0.0
_mq_gamma_source,META,0b_pipeline_meta,DEAD,CONSTANT | top_freq>100%,False,13338,0.0,1,'sierra_proxy_v2',100.0,0.0
_phase3_bars_processed,META,0b_pipeline_meta,ALIVE,,False,13338,0.0,1932,1,0.14,383.59497147304086
_phase3_enriched,META,0b_pipeline_meta,DEAD,CONSTANT | top_freq>100%,False,13338,0.0,1,True,100.0,0.0
above_open_830,3_IB_OVERNIGHT,3_bool,DEAD,std<0.00e+00,False,13338,0.0,2,True,53.9,0.0
above_open_cash,3_IB_OVERNIGHT,3_bool,DEAD,std<0.00e+00,False,13338,0.0,2,False,84.85,0.0
after_high,3_IB_OVERNIGHT,3_sessions_levels,DEAD,NULL>98%,False,13338,97.95,22,7279.25,44.69,73.5025773996667
after_low,3_IB_OVERNIGHT,3_sessions_levels,DEAD,NULL>98%,False,13338,97.95,13,7390.25,32.6,75.87836855827408
after_open,3_IB_OVERNIGHT,3_sessions_levels,DEAD,NULL>98%,False,13338,97.95,5,7271.25,44.69,71.76251068299447
aggressor_imbalance,5_ORDER_FLOW,5b_microstructure,ALIVE,,False,13338,3.67,1512,0.0,24.88,0.07713589774937651
asia_high,3_IB_OVERNIGHT,3_sessions_levels,ALIVE,,False,13338,27.94,143,7319.0,22.77,84.49723249013168
asia_low,3_IB_OVERNIGHT,3_sessions_levels,ALIVE,,False,13338,27.94,98,7384.5,16.34,92.27029582350075
asia_open,3_IB_OVERNIGHT,3_sessions_levels,ALIVE,,False,13338,27.94,16,7405.0,11.07,91.37565292135862
ask_bid_imbalance,5_ORDER_FLOW,5b_imbalance,ALIVE,,False,13338,0.0,2981,0.0,1.06,0.18059364347066012
ask_pct,5_ORDER_FLOW,5b_imbalance,ALIVE,,False,13338,0.0,2348,0.5,1.06,0.09029758606528845
atr,9_VOLATILITY_VIX,9_atr,ALIVE,,False,13338,0.0,247,104.55,14.0,9.938806637796505
atr_14m,9_VOLATILITY_VIX,9_atr,ALIVE,,False,13338,0.0,504,0.0,3.6,7.737952150515698
atr_14m_pct,9_VOLATILITY_VIX,9_atr,ALIVE,,False,13338,0.0,986,0.0,3.6,0.026450076972517934
avg_ask_size,5_ORDER_FLOW,5b_trader,ALIVE,,False,13338,0.0,2605,11.0,0.82,31.309481070882274
avg_bid_size,5_ORDER_FLOW,5b_trader,ALIVE,,False,13338,0.0,2595,9.0,1.18,30.35701454739227
avg_trade_size,5_ORDER_FLOW,5b_trader,ALIVE,,False,13338,0.0,3127,27.0,0.64,58.793642834733426
bar_body_pct,1_MARKET_STRUCTURE,1a_bar_microstructure,ALIVE,,False,13338,0.0,635,0.0,7.03,55.035769070173195
bar_body_ticks,1_MARKET_STRUCTURE,1a_bar_microstructure,ALIVE,,False,13338,0.0,111,2.0,7.78,9.61931670388945
bar_color_dn,6_SIERRA_BN,6_bar_color,DEAD,top_freq>95%,False,13338,0.0,2,0,95.27,0.21229779404537424
bar_color_up,6_SIERRA_BN,6_bar_color,DEAD,top_freq>95%,False,13338,0.0,2,0,95.22,0.2134133026647598
