feature,family,subfamily,status,reasons,is_event_based,n_total,null_pct,n_unique,top_value,top_freq_pct,std
_aggressor_source,META,0b_pipeline_meta,DEAD,CONSTANT | top_freq>100%,False,16746,18.3,1,'sierra_proxy_count',100.0,0.0
_mq_gamma_source,META,0b_pipeline_meta,DEAD,CONSTANT | top_freq>100%,False,16746,14.33,1,'sierra_proxy_v2',100.0,0.0
_phase3_bars_processed,META,0b_pipeline_meta,ALIVE,,False,16746,0.0,1930,1,0.16,352.09590133004576
_phase3_enriched,META,0b_pipeline_meta,DEAD,CONSTANT | top_freq>100%,False,16746,0.0,1,True,100.0,0.0
above_open_830,3_IB_OVERNIGHT,3_bool,DEAD,std<0.00e+00,False,16746,0.0,2,False,51.19,0.0
above_open_cash,3_IB_OVERNIGHT,3_bool,DEAD,std<0.00e+00,False,16746,0.0,2,False,84.46,0.0
after_high,3_IB_OVERNIGHT,3_sessions_levels,DEAD,NULL>97%,False,16746,96.92,22,28536.75,71.07,484.44058299374024
after_low,3_IB_OVERNIGHT,3_sessions_levels,DEAD,NULL>97%,False,16746,96.92,12,28433.0,47.77,492.3115732146905
after_open,3_IB_OVERNIGHT,3_sessions_levels,DEAD,NULL>97%,False,16746,96.92,3,28503.25,71.07,464.0094720968405
aggressor_imbalance,5_ORDER_FLOW,5b_microstructure,ALIVE,,False,16746,18.3,4154,0.0,1.94,0.19634937262275412
asia_high,3_IB_OVERNIGHT,3_sessions_levels,ALIVE,,False,16746,39.69,161,28813.75,24.67,537.2182752675787
asia_low,3_IB_OVERNIGHT,3_sessions_levels,ALIVE,,False,16746,39.69,124,28531.25,18.92,579.3143100100275
asia_open,3_IB_OVERNIGHT,3_sessions_levels,ALIVE,,False,16746,39.69,17,29525.75,10.52,575.2993623856942
ask_bid_imbalance,5_ORDER_FLOW,5b_imbalance,ALIVE,,False,16746,0.0,2716,0.0,1.75,0.24137619663374674
ask_pct,5_ORDER_FLOW,5b_imbalance,ALIVE,,False,16746,0.0,2307,0.5,1.75,0.12068881143058142
atr,9_VOLATILITY_VIX,9_atr,ALIVE,,False,16746,0.0,270,692.41,10.94,57.94138826400541
atr_14m,9_VOLATILITY_VIX,9_atr,ALIVE,,False,16746,0.0,1911,0.0,2.89,57.53310634692078
atr_14m_pct,9_VOLATILITY_VIX,9_atr,ALIVE,,False,16746,0.0,1444,0.0,2.89,0.049931110361012485
avg_ask_size,5_ORDER_FLOW,5b_trader,ALIVE,,False,16746,0.0,2418,2.0,2.1,1.7341021453233432
avg_bid_size,5_ORDER_FLOW,5b_trader,ALIVE,,False,16746,0.0,2390,1.0,2.31,1.7199964167821238
avg_trade_size,5_ORDER_FLOW,5b_trader,ALIVE,,False,16746,0.0,3067,2.0,1.26,3.2863387139803972
bar_body_pct,1_MARKET_STRUCTURE,1a_bar_microstructure,ALIVE,,False,16746,0.0,2870,0.0,0.91,55.45120143081018
bar_body_ticks,1_MARKET_STRUCTURE,1a_bar_microstructure,ALIVE,,False,16746,0.0,452,12.0,1.31,69.56906208830483
bar_color_dn,6_SIERRA_BN,6_bar_color,ALIVE,,False,16746,0.0,2,0,86.28,0.34408662524677003
bar_color_up,6_SIERRA_BN,6_bar_color,ALIVE,,False,16746,0.0,2,0,88.53,0.31860422111509545
bar_duration_sec,5_ORDER_FLOW,5b_volume_abs,ALIVE,,False,16746,0.0,36,60.0,46.78,3.067485869534409
