feature,family,subfamily,status,reasons,is_event_based,n_total,null_pct,n_unique,top_value,top_freq_pct,std
_aggressor_source,META,0b_pipeline_meta,DEAD,CONSTANT | top_freq>100%,False,2041,0.0,1,'sierra_proxy_count',100.0,0.0
_mq_gamma_source,META,0b_pipeline_meta,DEAD,CONSTANT | top_freq>100%,False,2041,0.0,1,'sierra_proxy_v2',100.0,0.0
_phase3_bars_processed,META,0b_pipeline_meta,ALIVE,,False,2041,0.0,1057,1,0.15,320.710630530307
_phase3_enriched,META,0b_pipeline_meta,DEAD,CONSTANT | top_freq>100%,False,2041,0.0,1,True,100.0,0.0
above_open_830,3_IB_OVERNIGHT,3_bool,DEAD,std<0.00e+00,False,2041,0.0,2,False,62.57,0.0
above_open_cash,3_IB_OVERNIGHT,3_bool,DEAD,CONSTANT | top_freq>100%,False,2041,0.0,1,False,100.0,0.0
after_high,3_IB_OVERNIGHT,3_sessions_levels,DEAD,NULL>100%,False,2041,100.0,0,None,0.0,0.0
after_low,3_IB_OVERNIGHT,3_sessions_levels,DEAD,NULL>100%,False,2041,100.0,0,None,0.0,0.0
after_open,3_IB_OVERNIGHT,3_sessions_levels,DEAD,NULL>100%,False,2041,100.0,0,None,0.0,0.0
aggressor_imbalance,5_ORDER_FLOW,5b_microstructure,ALIVE,,False,2041,0.0,550,0.0,1.71,0.242330224782111
asia_high,3_IB_OVERNIGHT,3_sessions_levels,ALIVE,,False,2041,0.0,24,29587.0,47.08,25.190437903473374
asia_low,3_IB_OVERNIGHT,3_sessions_levels,ALIVE,,False,2041,0.0,44,29464.75,35.47,66.46729972378274
asia_open,3_IB_OVERNIGHT,3_sessions_levels,ALIVE,,False,2041,0.0,4,29486.25,26.16,51.62575988657677
ask_bid_imbalance,5_ORDER_FLOW,5b_imbalance,ALIVE,,False,2041,0.0,472,0.0,2.6,0.3215715010272194
ask_pct,5_ORDER_FLOW,5b_imbalance,ALIVE,,False,2041,0.0,469,0.5,2.6,0.16078656527054314
atr,9_VOLATILITY_VIX,9_atr,ALIVE,,False,2041,0.0,29,727.96,53.36,5.861083261325766
atr_14m,9_VOLATILITY_VIX,9_atr,ALIVE,,False,2041,0.0,421,45.5,0.98,17.36208526202481
atr_14m_pct,9_VOLATILITY_VIX,9_atr,ALIVE,,False,2041,0.0,341,0.0376,1.37,0.014739652396314164
avg_ask_size,5_ORDER_FLOW,5b_trader,ALIVE,,False,2041,0.0,329,1.5,4.16,0.6055006345216644
avg_bid_size,5_ORDER_FLOW,5b_trader,ALIVE,,False,2041,0.0,317,1.0,3.72,0.7412737564892458
avg_trade_size,5_ORDER_FLOW,5b_trader,ALIVE,,False,2041,0.0,461,2.0,1.37,0.8200728139956907
bar_body_pct,1_MARKET_STRUCTURE,1a_bar_microstructure,ALIVE,,False,2041,0.0,500,-100.0,1.18,56.26046387777819
bar_body_ticks,1_MARKET_STRUCTURE,1a_bar_microstructure,ALIVE,,False,2041,0.0,169,-24.0,2.3,40.13944324695264
bar_color_dn,6_SIERRA_BN,6_bar_color,ALIVE,,False,2041,0.0,2,0,83.24,0.37347947336512544
bar_color_up,6_SIERRA_BN,6_bar_color,ALIVE,,False,2041,0.0,2,0,86.77,0.3388037104850752
bar_duration_sec,5_ORDER_FLOW,5b_volume_abs,ALIVE,,False,2041,0.0,19,59.0,32.88,3.0087312427019297
bar_edge_buy,6_SIERRA_BN,6_edge,ALIVE,,False,2041,0.0,2,1,73.2,0.4429206791739409
bar_edge_buy_fire,6_SIERRA_BN,6_edge,ALIVE,,False,2041,0.0,2,1,73.2,0.4429206791739409
bar_edge_sell,6_SIERRA_BN,6_edge,ALIVE,,False,2041,0.0,2,1,73.15,0.4431769643846528
bar_edge_sell_fire,6_SIERRA_BN,6_edge,ALIVE,,False,2041,0.0,2,1,73.15,0.4431769643846528
