colonne,provenance,motif
ts,C,metadonnee ou fuite
sym,C,moins de 100 valeurs
contract,C,moins de 100 valeurs
price,B,plausibilite OK
open,B,plausibilite OK
atr,B,plausibilite OK
atr_14m,B,plausibilite OK
session,B,plausibilite OK
session_id,C,metadonnee ou fuite
dist_vwap_d,A,verifiee par identite
dist_vwap_d_atr,A,verifiee par identite
dist_vwap_d_sd1u,A,verifiee par identite
dist_vwap_d_sd1d,A,verifiee par identite
dist_vwap_d_sd2u,A,verifiee par identite
dist_vwap_d_sd2d,B,plausibilite OK
dist_vwap_d_sd3u,B,plausibilite OK
dist_vwap_d_sd3d,B,plausibilite OK
dist_vwap_w,A,verifiee par identite
dist_vwap_w_atr,A,verifiee par identite
dist_vwap_m,A,verifiee par identite
dist_vwap_m_atr,A,verifiee par identite
vwap_d_side,A,verifiee par identite
vwap_w_side,B,plausibilite OK
vwap_m_side,B,plausibilite OK
dist_cur_vpoc,A,verifiee par identite
dist_cur_vah,A,verifiee par identite
dist_cur_val,A,verifiee par identite
dist_cur_vwap_vp,A,verifiee par identite
va_position_pct,C,nulls 51% par jour
inside_cur_va,A,verifiee par identite
range_pos_va,B,plausibilite OK
range_size_ticks,C,remplacee par recalc.py
momentum_3b,C,remplacee par recalc.py
momentum_5b,C,remplacee par recalc.py
cvd_bar_delta,A,verifiee par identite
vah_touches_20b,B,plausibilite OK
val_touches_20b,C,desaccord ES/NQ : B vs C
bars_in_va,C,desaccord ES/NQ : B vs C
dist_prev_vpoc,A,verifiee par identite
dist_prev_vpoc_atr,A,verifiee par identite
dist_prev_vah,A,verifiee par identite
dist_prev_val,A,verifiee par identite
dist_prev_vwap,C,remplacee par recalc.py
dist_prev_vwap_sd1u,C,remplacee par recalc.py
dist_prev_vwap_sd1d,C,remplacee par recalc.py
inside_prev_va,B,plausibilite OK
open_in_prev_va,B,plausibilite OK
dist_1d_min_ticks,B,plausibilite OK
dist_1d_max_ticks,C,remplacee par recalc.py
next_wall_dist_ticks,B,plausibilite OK
next_wall_is_call,B,plausibilite OK
dist_mq_call,C,desaccord ES/NQ : C vs B
dist_mq_put,C,desaccord ES/NQ : B vs C
dist_mq_hvl,C,saut au boot 6x la derive quotidienne
dist_mq_call_0dte,B,plausibilite OK
dist_mq_put_0dte,B,plausibilite OK
dist_mq_hvl_0dte,C,nulls 56% par jour
dist_gex_nearest_up,B,plausibilite OK
dist_gex_nearest_dn,B,plausibilite OK
gex_cluster_count,B,plausibilite OK
vix_level,B,plausibilite OK
dist_vix_hvl,B,plausibilite OK
vix_regime,B,plausibilite OK
vix_above_hvl,C,booleen actif 0.0%
dist_vix_call,B,plausibilite OK
dist_vix_put,B,plausibilite OK
dist_vix_call_0dte,C,nulls 10% par jour
dist_vix_put_0dte,B,plausibilite OK
dist_vix_hvl_0dte,C,saut au boot 8x la derive quotidienne
vix_above_hvl_0dte,B,plausibilite OK
dist_vix_gex_nearest_up,B,plausibilite OK
dist_vix_gex_nearest_dn,C,saut au boot 36x la derive quotidienne
dist_ib_high,A,verifiee par identite
dist_ib_low,A,verifiee par identite
ib_range_ticks,A,verifiee par identite
ib_range_atr,C,nulls 76% par jour
ib_is_narrow,C,booleen actif 0.1%
ib_is_wide,B,plausibilite OK
ib_position_pct,C,nulls 86% par jour
ib_broken_up,B,plausibilite OK
ib_broken_down,B,plausibilite OK
ib_complete,B,plausibilite OK
dist_sess_high,B,plausibilite OK
dist_sess_low,C,desaccord ES/NQ : B vs C
sess_range_ticks,B,plausibilite OK
sess_range_atr,B,plausibilite OK
dist_open_cash,A,verifiee par identite
dist_open_830,A,verifiee par identite
dist_ovn_high,A,verifiee par identite
dist_ovn_low,A,verifiee par identite
ovn_range_ticks,B,plausibilite OK
open_gap_ticks,B,plausibilite OK
open_position,B,plausibilite OK
delta_bar,A,verifiee par identite
delta_bar_vol_norm,A,verifiee par identite
delta_day,C,hors noyau (alias ou §7)
delta_day_dir,B,plausibilite OK
ask_pct,A,verifiee par identite
bid_pct,A,verifiee par identite
ask_bid_imbalance,A,verifiee par identite
avg_trade_size,B,plausibilite OK
avg_bid_size,B,plausibilite OK
avg_ask_size,B,plausibilite OK
large_trader_ratio,B,plausibilite OK
vol_per_sec,A,verifiee par identite
bar_duration_sec,B,plausibilite OK
finish_strength,B,plausibilite OK
poc_bar_dist,B,plausibilite OK
cvd_day,C,saut au boot 5x la derive quotidienne
cvd_day_dir,B,plausibilite OK
cvd_ohlc_range,B,plausibilite OK
rotation_up,B,plausibilite OK
rotation_dn,B,plausibilite OK
rotation_zz_osc,B,plausibilite OK
delta_divergence,C,booleen actif 0.6%
buy_vol,C,desaccord ES/NQ : C vs B
sell_vol,C,desaccord ES/NQ : C vs B
buy_sell_ratio,C,desaccord ES/NQ : B vs C
total_vol,A,verifiee par identite
delta_pct,A,verifiee par identite
ticks_count,B,plausibilite OK
finish_delta_pct,A,verifiee par identite
high_pullback_delta,B,plausibilite OK
low_pullback_delta,B,plausibilite OK
diag_pos_delta,B,plausibilite OK
diag_neg_delta,C,desaccord ES/NQ : C vs B
diag_imbalance,B,plausibilite OK
low_bid_vol_pct,B,plausibilite OK
high_ask_vol_pct,B,plausibilite OK
max_ask_vol_in_bar,C,desaccord ES/NQ : C vs B
max_bid_vol_in_bar,C,desaccord ES/NQ : C vs B
p99_trade_size_proxy,C,desaccord ES/NQ : B vs C
large_trader_max_size,B,plausibilite OK
bn_color_up,C,desaccord ES/NQ : B vs C
bn_color_dn,C,desaccord ES/NQ : B vs C
bn_color_up_2,C,booleen actif 1.4%
bn_color_dn_2,C,booleen actif 1.4%
bn_absorb_ask,C,desaccord ES/NQ : C vs B
bn_absorb_bid,C,desaccord ES/NQ : C vs B
bn_long_up,C,desaccord ES/NQ : B vs C
bn_long_dn,C,desaccord ES/NQ : B vs C
bn_pressure_ask,C,desaccord ES/NQ : B vs C
bn_pressure_bid,C,desaccord ES/NQ : B vs C
bn_score_raw,B,plausibilite OK
bn_score_bull,B,plausibilite OK
bn_score_bear,B,plausibilite OK
dist_big_ask_nearest_up,C,saut au boot 7x la derive quotidienne
dist_big_ask_nearest_dn,C,saut au boot 8x la derive quotidienne
dist_big_bid_nearest_up,C,nulls 11% par jour
dist_big_bid_nearest_dn,C,saut au boot 8x la derive quotidienne
n_big_ask_t1,B,plausibilite OK
n_big_bid_t1,B,plausibilite OK
n_big_ask_t2,C,desaccord ES/NQ : C vs B
n_big_bid_t2,B,plausibilite OK
n_big_ask_t3,B,plausibilite OK
n_big_bid_t3,B,plausibilite OK
n_big_ask_t4,C,desaccord ES/NQ : C vs B
n_big_bid_t4,C,desaccord ES/NQ : C vs B
big_ask_cluster_20t,B,plausibilite OK
big_bid_cluster_20t,B,plausibilite OK
big_ask_cluster_50t,B,plausibilite OK
big_bid_cluster_50t,B,plausibilite OK
big_ask_cluster_20t_t1,B,plausibilite OK
big_bid_cluster_20t_t1,B,plausibilite OK
big_ask_cluster_20t_t2,B,plausibilite OK
big_bid_cluster_20t_t2,B,plausibilite OK
big_ask_cluster_20t_t3,B,plausibilite OK
big_bid_cluster_20t_t3,B,plausibilite OK
big_ask_cluster_20t_t4,C,desaccord ES/NQ : C vs B
big_bid_cluster_20t_t4,C,desaccord ES/NQ : C vs B
dist_cluster_nearest_up,C,nulls 13% par jour
dist_cluster_nearest_dn,C,nulls 13% par jour
n_clusters_20t,B,plausibilite OK
n_clusters_50t,B,plausibilite OK
bar_color_up,C,desaccord ES/NQ : B vs C
bar_color_dn,C,desaccord ES/NQ : B vs C
bar_long_up_bar,C,desaccord ES/NQ : B vs C
bar_long_dn_bar,C,desaccord ES/NQ : B vs C
bar_long_dn_up,C,desaccord ES/NQ : B vs C
bar_long_up_dn,C,desaccord ES/NQ : B vs C
bar_edge_buy,B,plausibilite OK
bar_edge_sell,B,plausibilite OK
bar_pressure_ask,C,desaccord ES/NQ : B vs C
bar_pressure_bid,C,desaccord ES/NQ : B vs C
dist_ext_color_up,C,nulls 77% par jour
dist_ext_color_dn,C,nulls 79% par jour
dist_ext_long_up,C,desaccord ES/NQ : C vs B
dist_ext_long_dn,C,nulls 32% par jour
dist_ext_edge_buy,B,plausibilite OK
dist_ext_edge_sell,B,plausibilite OK
bn_volume_up,B,plausibilite OK
bn_volume_dn,B,plausibilite OK
fp_edge_buy,B,plausibilite OK
fp_edge_sell,B,plausibilite OK
dist_swing_high,B,plausibilite OK
dist_swing_low,B,plausibilite OK
swing_range_ticks,B,plausibilite OK
price_vs_swing_mid,B,plausibilite OK
new_swing_high,C,booleen actif 1.7%
new_swing_low,C,booleen actif 1.6%
open_type,B,plausibilite OK
open_zone,B,plausibilite OK
open_bias_conf,B,plausibilite OK
open_direction,B,plausibilite OK
day_type,B,plausibilite OK
rule_80pct,B,plausibilite OK
trend_day_probability,B,plausibilite OK
ma_trend,C,desaccord ES/NQ : B vs C
vwap_ma_align,B,plausibilite OK
vwap_slope_10,B,plausibilite OK
vwap_slope_30,C,desaccord ES/NQ : C vs B
vwap_slope_10_dir,B,plausibilite OK
bool_above_cur_vpoc,B,plausibilite OK
bool_above_prev_vpoc,B,plausibilite OK
bool_above_vwap_d,A,verifiee par identite
bool_above_vwap_w,B,plausibilite OK
bool_above_vwap_m,B,plausibilite OK
bool_above_mq_hvl,B,plausibilite OK
bool_above_mq_call,B,plausibilite OK
bool_near_level,B,plausibilite OK
bool_ib_inside,B,plausibilite OK
bool_session_early,B,plausibilite OK
vwap_triple_align,B,plausibilite OK
bool_va_confluence,C,desaccord ES/NQ : C vs B
bool_gex_flip_zone,B,plausibilite OK
dist_session_hvn_above,C,nulls 31% par jour
dist_session_hvn_below,C,nulls 29% par jour
dist_session_lvn_above,C,desaccord ES/NQ : C vs B
dist_session_lvn_below,C,desaccord ES/NQ : C vs B
session_hvn_count,B,plausibilite OK
session_lvn_count,B,plausibilite OK
lvn_between,C,booleen actif 0.0%
hvn_between,C,booleen actif 0.0%
lvn_confluence_count,B,plausibilite OK
profile_shape,B,plausibilite OK
profile_skew,B,plausibilite OK
poc_position,B,plausibilite OK
volume_imbalance,B,plausibilite OK
is_double_dist,B,plausibilite OK
poc_separation_ticks,B,plausibilite OK
single_print_mid,B,plausibilite OK
single_print_count,B,plausibilite OK
profile_hvn_dominant,B,plausibilite OK
retest_high_count,C,desaccord ES/NQ : B vs C
retest_low_count,B,plausibilite OK
retest_high_delta_div,B,plausibilite OK
retest_low_delta_div,B,plausibilite OK
bars_since_retest_high,C,nulls 75% par jour
bars_since_retest_low,C,nulls 71% par jour
rvol,C,saut au boot 10x la derive quotidienne
rvol_zscore,C,desaccord ES/NQ : B vs C
rvol_buy,B,plausibilite OK
rvol_sell,B,plausibilite OK
rvol_absorb_buy,C,booleen actif 0.9%
rvol_absorb_sell,C,booleen actif 0.9%
bar_high,B,plausibilite OK
bar_low,B,plausibilite OK
dist_vwap_d_pct,A,verifiee par identite
dist_vwap_d_sd1u_pct,B,plausibilite OK
dist_vwap_d_sd1d_pct,B,plausibilite OK
dist_vwap_d_sd2u_pct,B,plausibilite OK
dist_vwap_d_sd2d_pct,B,plausibilite OK
dist_vwap_d_sd3u_pct,B,plausibilite OK
dist_vwap_d_sd3d_pct,B,plausibilite OK
dist_vwap_w_pct,A,verifiee par identite
dist_vwap_w_sd1u_pct,B,plausibilite OK
dist_vwap_w_sd1d_pct,C,saut au boot 7x la derive quotidienne
dist_vwap_m_pct,A,verifiee par identite
dist_vwap_m_sd1u_pct,B,plausibilite OK
dist_vwap_m_sd1d_pct,B,plausibilite OK
dist_cur_vpoc_pct,B,plausibilite OK
dist_cur_vah_pct,B,plausibilite OK
dist_cur_val_pct,B,plausibilite OK
dist_prev_vpoc_pct,C,remplacee par recalc.py
dist_prev_vah_pct,B,plausibilite OK
dist_prev_val_pct,B,plausibilite OK
dist_sess_high_pct,B,plausibilite OK
dist_sess_low_pct,C,desaccord ES/NQ : B vs C
dist_mq_call_pct,C,desaccord ES/NQ : C vs B
dist_mq_put_pct,C,desaccord ES/NQ : B vs C
dist_mq_hvl_pct,C,saut au boot 6x la derive quotidienne
dist_mq_call_0dte_pct,B,plausibilite OK
dist_mq_put_0dte_pct,C,desaccord ES/NQ : B vs C
dist_mq_hvl_0dte_pct,C,nulls 56% par jour
dist_1d_max_ticks_pct,C,remplacee par recalc.py
dist_1d_min_ticks_pct,B,plausibilite OK
dist_long_up_nearest_pct,C,desaccord ES/NQ : C vs B
dist_long_dn_nearest_pct,C,desaccord ES/NQ : C vs B
dist_color_up_nearest_pct,C,nulls 77% par jour
dist_color_dn_nearest_pct,C,nulls 79% par jour
dist_edge_buy_nearest_pct,C,desaccord ES/NQ : C vs B
dist_edge_sell_nearest_pct,C,desaccord ES/NQ : C vs B
dist_gex_nearest_up_pct,B,plausibilite OK
dist_gex_nearest_dn_pct,B,plausibilite OK
vwap_d,A,verifiee par identite
vwap_d_sd1u,A,verifiee par identite
vwap_d_sd1d,B,plausibilite OK
vwap_d_sd2u,A,verifiee par identite
vwap_d_sd2d,B,plausibilite OK
vwap_d_sd3u,C,desaccord ES/NQ : C vs B
vwap_d_sd3d,B,plausibilite OK
vwap_w,C,saut au boot 5x la derive quotidienne
vwap_w_sd1u,B,plausibilite OK
vwap_w_sd1d,C,saut au boot 10x la derive quotidienne
vwap_w_sd2u,C,saut au boot 6x la derive quotidienne
vwap_w_sd2d,C,saut au boot 11x la derive quotidienne
vwap_w_sd3u,C,saut au boot 8x la derive quotidienne
vwap_w_sd3d,C,saut au boot 11x la derive quotidienne
vwap_m,B,plausibilite OK
vwap_m_sd1u,B,plausibilite OK
vwap_m_sd1d,C,saut au boot 6x la derive quotidienne
vwap_m_sd2u,B,plausibilite OK
vwap_m_sd2d,B,plausibilite OK
vwap_m_sd3u,B,plausibilite OK
vwap_m_sd3d,B,plausibilite OK
pvwap,B,plausibilite OK
pvwap_sd1u,B,plausibilite OK
pvwap_sd1d,B,plausibilite OK
pdh,B,plausibilite OK
pdl,B,plausibilite OK
cash_high,B,plausibilite OK
cash_low,B,plausibilite OK
open_cash_lvl,B,plausibilite OK
open_830_lvl,B,plausibilite OK
cur_vpoc_lvl,B,plausibilite OK
cur_vah_lvl,B,plausibilite OK
cur_val_lvl,B,plausibilite OK
prev_vpoc_lvl,A,verifiee par identite
prev_vah_lvl,A,verifiee par identite
prev_val_lvl,B,plausibilite OK
pct_in_range,B,plausibilite OK
premium_zone,B,plausibilite OK
discount_zone,B,plausibilite OK
position_in_range,B,plausibilite OK
bar_body_pct,C,remplacee par recalc.py
bar_body_ticks,C,remplacee par recalc.py
bar_upper_wick_pct,B,plausibilite OK
bar_lower_wick_pct,B,plausibilite OK
bar_no_trade,C,booleen actif 0.0%
range_size,A,verifiee par identite
is_news_715,C,booleen actif 0.1%
is_news_730,C,booleen actif 0.0%
is_news_830,C,booleen actif 0.1%
is_news_845,C,booleen actif 0.1%
is_news_900,C,booleen actif 0.0%
is_news_930,C,booleen actif 0.1%
within_news_715_5m,C,booleen actif 0.4%
within_news_730_5m,C,booleen actif 0.3%
within_news_830_5m,C,booleen actif 0.4%
within_news_845_5m,C,booleen actif 0.4%
within_news_900_5m,C,booleen actif 0.3%
within_news_930_5m,C,booleen actif 0.4%
mins_since_news,C,nulls 27% par jour
mins_to_next_news,C,nulls 65% par jour
is_roll_day,C,booleen actif 0.0%
mins_et,C,saut au boot 170x la derive quotidienne
is_in_us_cash,B,plausibilite OK
dist_pdh_pct,A,verifiee par identite
dist_pdl_pct,A,verifiee par identite
atr_14m_pct,A,verifiee par identite
cvd_session,C,hors noyau (alias ou §7)
ctx_day_type_intensity,B,plausibilite OK
ts_event,C,metadonnee ou fuite
ts_event_ns,C,metadonnee ou fuite
close,B,plausibilite OK
high,A,verifiee par identite
low,A,verifiee par identite
volume,A,verifiee par identite
poc_migration_dir,B,plausibilite OK
ctx_poc_migration_10,B,plausibilite OK
bars_since_last_swing_high,C,nulls 12% par jour
bars_since_last_swing_low,C,nulls 16% par jour
equal_highs_detected,B,plausibilite OK
equal_lows_detected,C,desaccord ES/NQ : C vs B
liquidity_sweep_high_lag5,B,plausibilite OK
liquidity_sweep_low_lag5,B,plausibilite OK
dist_pdh_atr,A,verifiee par identite
dist_pdl_atr,A,verifiee par identite
is_new_cash_high,C,booleen actif 0.9%
is_new_cash_low,C,booleen actif 1.0%
dist_cash_high_atr,C,remplacee par recalc.py
dist_cash_low_atr,C,remplacee par recalc.py
above_open_cash,B,plausibilite OK
open_830_et,B,plausibilite OK
above_open_830,B,plausibilite OK
ovn_high,B,plausibilite OK
ovn_low,B,plausibilite OK
ovn_broken_up,B,plausibilite OK
ovn_broken_dn,B,plausibilite OK
is_in_asia,B,plausibilite OK
is_in_london,B,plausibilite OK
is_in_us_after,B,plausibilite OK
is_ib_window,B,plausibilite OK
session_segment,C,moins de 100 valeurs
asia_high,B,plausibilite OK
asia_low,B,plausibilite OK
london_high,C,nulls 49% par jour
london_low,C,nulls 49% par jour
us_high,C,nulls 72% par jour
us_low,C,nulls 72% par jour
after_high,C,nulls 96% par jour
after_low,C,nulls 96% par jour
asia_open,B,plausibilite OK
london_open,C,nulls 76% par jour
ny_open,C,nulls 72% par jour
after_open,C,nulls 96% par jour
dist_asia_open_pct,B,plausibilite OK
dist_london_open_pct,C,nulls 49% par jour
dist_ny_open_pct,C,nulls 72% par jour
dist_after_open_pct,C,nulls 96% par jour
dist_asia_high_pct,C,remplacee par recalc.py
dist_asia_low_pct,C,remplacee par recalc.py
dist_london_high_pct,C,remplacee par recalc.py
dist_london_low_pct,C,remplacee par recalc.py
dist_us_high_pct,C,nulls 72% par jour
dist_us_low_pct,C,nulls 72% par jour
dist_after_high_pct,C,nulls 96% par jour
dist_after_low_pct,C,nulls 96% par jour
is_cash_session,B,plausibilite OK
session_date,C,metadonnee ou fuite
session_date_trading,C,moins de 100 valeurs
days_since_roll,B,plausibilite OK
roll_phase,C,booleen actif 100.0%
is_news_5m,C,booleen actif 0.1%
is_news_15m,C,booleen actif 0.4%
is_news_30m,C,booleen actif 0.8%
is_news_60m,C,booleen actif 1.6%
is_critical_news_60m,C,booleen actif 1.1%
news_seconds_until,C,nulls 19% par jour
news_minutes_until,C,nulls 19% par jour
is_eco_blocked,C,booleen actif 1.2%
is_session_blocked,B,plausibilite OK
is_blocked_combined,B,plausibilite OK
delta_div_buy,B,plausibilite OK
delta_div_sell,B,plausibilite OK
delta_div_strength,B,plausibilite OK
delta_divergence_any,B,plausibilite OK
delta_div_buy_clean,B,plausibilite OK
delta_div_sell_clean,B,plausibilite OK
delta_divergence_clean,B,plausibilite OK
n_delta_div_buy_zones_active,B,plausibilite OK
n_delta_div_sell_zones_active,B,plausibilite OK
dist_delta_div_buy_nearest_atr,C,nulls 56% par jour
dist_delta_div_sell_nearest_atr,C,nulls 60% par jour
ctx_div_density_20,B,plausibilite OK
ctx_bars_since_div,C,nulls 18% par jour
delta_div_slope_buy,B,plausibilite OK
delta_div_slope_sell,B,plausibilite OK
delta_div_slope_strength,B,plausibilite OK
delta_div_slope_buy_clean,B,plausibilite OK
delta_div_slope_sell_clean,B,plausibilite OK
delta_div_slope_clean,B,plausibilite OK
range_pos,B,plausibilite OK
ib_formed_bool,B,plausibilite OK
atr_regime_zscore_60d,C,nulls 77% par jour
ctx_climax_signal,B,plausibilite OK
ctx_failed_auction,B,plausibilite OK
ctx_absorption_score_5,B,plausibilite OK
ctx_absorption_streak_5,B,plausibilite OK
ctx_instant_absorption,C,desaccord ES/NQ : C vs B
ctx_delta_exhaustion,B,plausibilite OK
ctx_momentum_exhaustion,B,plausibilite OK
ctx_poor_high,B,plausibilite OK
ctx_poor_low,B,plausibilite OK
ctx_excess_high_bars,B,plausibilite OK
ctx_excess_low_bars,B,plausibilite OK
ctx_double_top_trap,B,plausibilite OK
ctx_vol_sell_buy_ratio_5,B,plausibilite OK
