symbole,cluster,representant,provenance,famille,n_membres,n_A,part_A,membres
ES,59,atr,B,VOLATILITE / REGIME,2,0,0.0,atr|gamma_threshold_ticks
ES,69,dist_vwap_d,A,VWAP,19,12,0.632,dist_vwap_d|dist_vwap_d_atr|dist_vwap_d_sd1u|dist_vwap_d_sd1d|dist_vwap_d_sd2u_hnorm|vwap_d_side|dist_cur_vpoc|dist_cur_vah|dist_cur_val_hnorm|dist_cur_vwap_vp|range_pos_va|bool_above_cur_vpoc|bool_above_vwap_d|dist_vwap_d_pct|premium_zone|discount_zone|dist_single_print_atr|single_print_above|single_print_below
ES,73,dist_vwap_w,A,VWAP,10,7,0.7,dist_vwap_w|dist_vwap_w_atr|vwap_w_side|dist_prev_vpoc|dist_prev_vpoc_atr|dist_prev_vah|dist_prev_val|bool_above_prev_vpoc|bool_above_vwap_w|dist_vwap_w_pct
ES,60,dist_vwap_m,A,VWAP,6,3,0.5,dist_vwap_m|dist_vwap_m_atr|vwap_m_side|dist_vix_put_0dte|bool_above_vwap_m|dist_vwap_m_pct
ES,28,inside_cur_va,A,MARKET PROFILE,1,1,1.0,inside_cur_va
ES,126,ask_pct,A,ORDER FLOW,8,7,0.875,cvd_bar_delta|delta_bar|delta_bar_vol_norm|ask_pct|bid_pct|ask_bid_imbalance|buy_sell_ratio|delta_pct
ES,52,inside_prev_va,B,MARKET PROFILE,1,0,0.0,inside_prev_va
ES,45,next_wall_is_call,B,AUTRES,1,0,0.0,next_wall_is_call
ES,91,gex_cluster_count,B,OPTIONS / MENTHORQ,1,0,0.0,gex_cluster_count
ES,62,vix_regime,B,OPTIONS / MENTHORQ,1,0,0.0,vix_regime
ES,79,vix_above_hvl_0dte,B,OPTIONS / MENTHORQ,1,0,0.0,vix_above_hvl_0dte
ES,46,dist_vix_gex_nearest_up,B,OPTIONS / MENTHORQ,1,0,0.0,dist_vix_gex_nearest_up
ES,68,dist_vwap_rth_r,A,VWAP,7,6,0.857,dist_ib_high|dist_ib_low|dist_open_cash|above_open_cash|dist_vwap_rth_r|dist_vwap_rth_sd1u_r|dist_vwap_rth_sd1d_r
ES,56,ib_range_ticks,A,INITIAL BALANCE,2,2,1.0,ib_range_ticks|ib_range
