symbole,colonne,jour,facteur,motif
NQ,price,2026-06-15,6.0,saut au redemarrage
NQ,atr_14m,2026-06-15,11.1,saut au redemarrage
NQ,dist_vwap_d_sd1u,2026-06-28,6.2,saut au redemarrage
NQ,dist_vwap_d_sd1u,2026-07-17,5.5,saut au redemarrage
NQ,dist_vwap_d_sd2u,2026-06-28,6.8,saut au redemarrage
NQ,dist_vwap_d_sd2u,2026-07-17,7.4,saut au redemarrage
NQ,dist_vwap_d_sd2d,2026-06-21,6.3,saut au redemarrage
NQ,dist_vwap_d_sd2d,2026-07-22,5.2,saut au redemarrage
NQ,dist_vwap_d_sd3u,2026-06-28,7.2,saut au redemarrage
NQ,dist_vwap_d_sd3u,2026-07-17,8.1,saut au redemarrage
NQ,dist_vwap_d_sd3d,2026-06-15,5.4,saut au redemarrage
NQ,dist_vwap_d_sd3d,2026-06-21,7.5,saut au redemarrage
NQ,dist_vwap_d_sd3d,2026-07-22,5.3,saut au redemarrage
NQ,dist_vwap_m,2026-06-15,8.3,saut au redemarrage
NQ,dist_vwap_m,2026-08-04,8.0,saut au redemarrage
NQ,dist_vwap_m_atr,2026-06-15,7.2,saut au redemarrage
NQ,dist_vwap_m_atr,2026-08-04,7.5,saut au redemarrage
NQ,dist_cur_vah,2026-06-28,6.6,saut au redemarrage
NQ,dist_cur_vah,2026-07-17,5.5,saut au redemarrage
NQ,dist_cur_vah,2026-08-06,5.1,saut au redemarrage
NQ,range_size_ticks,2026-06-21,6.1,saut au redemarrage
NQ,cvd_bar_delta,2026-06-15,12.0,saut au redemarrage
NQ,dist_prev_vpoc,2026-06-16,5.1,saut au redemarrage
NQ,dist_prev_vah,2026-07-05,5.6,saut au redemarrage
NQ,dist_prev_val,2026-06-16,5.5,saut au redemarrage
NQ,dist_prev_val,2026-08-06,6.2,saut au redemarrage
NQ,dist_prev_vwap,2026-08-06,5.5,saut au redemarrage
NQ,dist_prev_vwap_sd1u,2026-07-05,5.1,saut au redemarrage
NQ,dist_prev_vwap_sd1d,2026-08-06,5.8,saut au redemarrage
NQ,dist_mq_put,2026-06-21,9.7,saut au redemarrage
NQ,dist_mq_hvl,2026-08-11,6.1,saut au redemarrage
NQ,dist_mq_hvl_0dte,2026-08-06,5.6,saut au redemarrage
NQ,dist_gex_nearest_dn,2026-06-21,6.6,saut au redemarrage
NQ,vix_level,2026-06-15,5.6,saut au redemarrage
NQ,dist_vix_call,2026-06-15,5.6,saut au redemarrage
NQ,dist_vix_call,2026-06-21,17.2,saut au redemarrage
NQ,dist_vix_hvl_0dte,2026-08-11,7.8,saut au redemarrage
NQ,dist_vix_gex_nearest_dn,2026-06-15,5.8,saut au redemarrage
NQ,dist_vix_gex_nearest_dn,2026-07-17,20.2,saut au redemarrage
NQ,dist_vix_gex_nearest_dn,2026-08-11,6.0,saut au redemarrage
NQ,dist_vix_gex_nearest_dn,2026-08-16,25.5,saut au redemarrage
NQ,dist_sess_high,2026-06-28,9.5,saut au redemarrage
NQ,dist_sess_high,2026-07-17,7.5,saut au redemarrage
NQ,dist_sess_low,2026-06-21,5.8,saut au redemarrage
NQ,dist_open_cash,2026-06-28,6.2,saut au redemarrage
NQ,dist_open_cash,2026-08-06,5.6,saut au redemarrage
NQ,dist_open_830,2026-08-04,7.1,saut au redemarrage
NQ,dist_open_830,2026-08-06,7.2,saut au redemarrage
NQ,dist_ovn_high,2026-06-28,6.2,saut au redemarrage
NQ,delta_bar,2026-06-15,12.0,saut au redemarrage
NQ,delta_day,2026-06-21,10.2,saut au redemarrage
NQ,delta_day,2026-08-09,5.7,saut au redemarrage
NQ,avg_trade_size,2026-06-15,8.6,saut au redemarrage
NQ,avg_bid_size,2026-06-15,8.3,saut au redemarrage
NQ,avg_ask_size,2026-06-15,7.1,saut au redemarrage
NQ,vol_per_sec,2026-06-15,29.9,saut au redemarrage
NQ,poc_bar_dist,2026-06-15,7.5,saut au redemarrage
NQ,cvd_day,2026-06-15,14.1,saut au redemarrage
NQ,cvd_day,2026-06-16,23.1,saut au redemarrage
NQ,cvd_day,2026-06-21,8.6,saut au redemarrage
NQ,cvd_day,2026-08-09,5.3,saut au redemarrage
NQ,buy_vol,2026-06-15,33.7,saut au redemarrage
NQ,buy_vol,2026-06-28,5.7,saut au redemarrage
NQ,sell_vol,2026-06-15,32.3,saut au redemarrage
NQ,total_vol,2026-06-15,34.1,saut au redemarrage
NQ,ticks_count,2026-06-15,30.0,saut au redemarrage
NQ,diag_pos_delta,2026-06-15,23.7,saut au redemarrage
NQ,diag_pos_delta,2026-06-28,5.2,saut au redemarrage
NQ,diag_neg_delta,2026-06-15,21.3,saut au redemarrage
NQ,max_ask_vol_in_bar,2026-06-15,14.0,saut au redemarrage
NQ,max_bid_vol_in_bar,2026-06-15,12.0,saut au redemarrage
NQ,large_trader_max_size,2026-06-15,10.2,saut au redemarrage
NQ,dist_big_ask_nearest_up,2026-06-21,27.0,saut au redemarrage
NQ,dist_big_ask_nearest_up,2026-06-28,7.0,saut au redemarrage
NQ,dist_big_ask_nearest_up,2026-08-09,7.0,saut au redemarrage
NQ,dist_big_ask_nearest_up,2026-08-11,6.0,saut au redemarrage
NQ,dist_big_ask_nearest_up,2026-08-16,7.0,saut au redemarrage
NQ,dist_big_ask_nearest_dn,2026-06-21,14.0,saut au redemarrage
NQ,dist_big_ask_nearest_dn,2026-06-28,29.0,saut au redemarrage
NQ,dist_big_ask_nearest_dn,2026-07-26,6.0,saut au redemarrage
NQ,dist_big_ask_nearest_dn,2026-08-09,8.5,saut au redemarrage
NQ,dist_big_ask_nearest_dn,2026-08-11,8.5,saut au redemarrage
NQ,dist_big_ask_nearest_dn,2026-08-16,7.0,saut au redemarrage
NQ,dist_big_bid_nearest_up,2026-06-21,12.0,saut au redemarrage
NQ,dist_big_bid_nearest_up,2026-06-28,6.0,saut au redemarrage
NQ,dist_big_bid_nearest_up,2026-08-09,8.0,saut au redemarrage
NQ,dist_big_bid_nearest_up,2026-08-11,8.0,saut au redemarrage
NQ,dist_big_bid_nearest_dn,2026-06-21,9.0,saut au redemarrage
NQ,dist_big_bid_nearest_dn,2026-06-28,14.0,saut au redemarrage
NQ,dist_big_bid_nearest_dn,2026-07-05,7.5,saut au redemarrage
NQ,dist_big_bid_nearest_dn,2026-08-16,8.0,saut au redemarrage
NQ,n_big_ask_t2,2026-06-15,18.0,saut au redemarrage
NQ,n_big_bid_t2,2026-06-15,18.0,saut au redemarrage
NQ,big_ask_cluster_20t,2026-06-15,9.0,saut au redemarrage
NQ,big_bid_cluster_20t,2026-06-15,8.0,saut au redemarrage
NQ,big_ask_cluster_50t,2026-06-15,9.0,saut au redemarrage
NQ,big_bid_cluster_50t,2026-06-15,9.0,saut au redemarrage
NQ,big_ask_cluster_20t_t1,2026-06-15,8.0,saut au redemarrage
NQ,big_bid_cluster_20t_t1,2026-06-15,7.0,saut au redemarrage
NQ,dist_cluster_nearest_up,2026-06-21,35.0,saut au redemarrage
NQ,dist_cluster_nearest_up,2026-06-28,11.0,saut au redemarrage
NQ,dist_cluster_nearest_up,2026-07-05,9.0,saut au redemarrage
NQ,dist_cluster_nearest_up,2026-07-26,6.5,saut au redemarrage
NQ,dist_cluster_nearest_up,2026-08-09,27.5,saut au redemarrage
NQ,dist_cluster_nearest_up,2026-08-11,27.5,saut au redemarrage
NQ,dist_cluster_nearest_up,2026-08-16,12.0,saut au redemarrage
NQ,dist_cluster_nearest_dn,2026-06-21,11.5,saut au redemarrage
NQ,dist_cluster_nearest_dn,2026-06-28,31.0,saut au redemarrage
NQ,dist_cluster_nearest_dn,2026-08-09,10.5,saut au redemarrage
NQ,dist_cluster_nearest_dn,2026-08-11,10.0,saut au redemarrage
NQ,dist_cluster_nearest_dn,2026-08-16,17.5,saut au redemarrage
NQ,n_clusters_20t,2026-06-15,15.0,saut au redemarrage
NQ,n_clusters_50t,2026-06-15,8.5,saut au redemarrage
NQ,dist_ext_color_dn,2026-08-04,7.2,saut au redemarrage
NQ,dist_ext_long_up,2026-07-05,8.6,saut au redemarrage
NQ,dist_ext_long_dn,2026-07-05,8.1,saut au redemarrage
NQ,dist_ext_long_dn,2026-08-06,5.4,saut au redemarrage
NQ,dist_swing_high,2026-06-21,11.5,saut au redemarrage
NQ,dist_swing_high,2026-06-28,14.1,saut au redemarrage
NQ,dist_swing_low,2026-06-15,8.9,saut au redemarrage
NQ,dist_swing_low,2026-06-21,7.0,saut au redemarrage
NQ,dist_swing_low,2026-06-28,24.6,saut au redemarrage
NQ,swing_range_ticks,2026-06-15,9.7,saut au redemarrage
NQ,vwap_slope_10,2026-06-15,7.8,saut au redemarrage
NQ,vwap_slope_10,2026-06-21,9.7,saut au redemarrage
NQ,vwap_slope_10,2026-06-28,8.0,saut au redemarrage
NQ,vwap_slope_10,2026-07-05,5.2,saut au redemarrage
NQ,vwap_slope_30,2026-06-15,9.7,saut au redemarrage
NQ,vwap_slope_30,2026-06-21,6.9,saut au redemarrage
NQ,vwap_slope_30,2026-07-05,18.4,saut au redemarrage
NQ,vwap_slope_30,2026-07-26,13.1,saut au redemarrage
NQ,vwap_slope_30,2026-08-16,5.8,saut au redemarrage
NQ,dist_session_hvn_below,2026-06-15,18.7,saut au redemarrage
NQ,dist_session_lvn_below,2026-06-15,18.6,saut au redemarrage
NQ,volume_imbalance,2026-07-26,13.4,saut au redemarrage
