feature,rho_fut1,abs_rho,n
momentum_3b,0.44403591799434433,0.44403591799434433,9860
bn_color_dn_fwd1,-0.18674714049033556,0.18674714049033556,28254
bn_color_up_fwd1,0.17108957116674833,0.17108957116674833,28254
swing_high_active_lag10,-0.11792576116693686,0.11792576116693686,28254
swing_low_active_lag10,0.11648469906142506,0.11648469906142506,28254
dist_after_low_pct,-0.09249490908117089,0.09249490908117089,1200
bars_since_last_swing_low,-0.0853425048646207,0.0853425048646207,28254
dist_after_open_pct,-0.07949245945808071,0.07949245945808071,1200
bars_since_last_swing_high,0.07311336561369151,0.07311336561369151,28254
dist_color_dn_nearest_pct,0.06653118800138527,0.06653118800138527,21890
equal_lows_detected,0.06440328939543993,0.06440328939543993,28254
equal_highs_detected,-0.06413988155100055,0.06413988155100055,28254
dist_color_up_nearest_pct,0.05468934726606235,0.05468934726606235,27891
liquidity_sweep_high_lag5,-0.05128935439420186,0.05128935439420186,28254
long_dn_up_pattern,0.047033687170777265,0.047033687170777265,28254
bn_color_dn_2_fwd1,-0.04471842621768358,0.04471842621768358,28254
dist_last_swing_low_pct,-0.038751434179372025,0.038751434179372025,28254
bn_color_up_2_fwd1,0.03849140170231104,0.03849140170231104,28254
n_color_up_cluster_within_0_2pct,0.034362362737815,0.034362362737815,28254
finish_pct_up,-0.03264652925069527,0.03264652925069527,28254
range_pos,0.03201738594583205,0.03201738594583205,8906
vwap_offset_pct,0.03170960465119717,0.03170960465119717,25561
long_up_dn_pattern,-0.031200286939797095,0.031200286939797095,28254
n_color_dn_cluster_within_0_2pct,-0.03080522716658187,0.03080522716658187,28254
liquidity_sweep_low_lag5,0.028719730723033444,0.028719730723033444,28254
dist_after_high_pct,-0.027149635685420333,0.027149635685420333,1200
finish_strength,-0.026913148496475275,0.026913148496475275,28254
finish_strong_up,-0.02525616699920335,0.02525616699920335,28254
ctx_delta_sum_3,0.024225034214962842,0.024225034214962842,28254
dist_big_bid_nearest_pct,0.02412984128148683,0.02412984128148683,4589
sess_range_atr,-0.02229017436525465,0.02229017436525465,8910
bn_trapped_buyers_at_resistance,0.022256327283501395,0.022256327283501395,28254
bar_body_pct,-0.022220191752300424,0.022220191752300424,29634
bar_return,-0.022220191752300424,0.022220191752300424,29634
finish_strong_dn,0.0202236692319037,0.0202236692319037,28254
range_hprev_minus_l_ticks,0.019851116280230546,0.019851116280230546,28254
vix_regime,0.01972171823168402,0.01972171823168402,9860
dist_last_swing_high_pct,-0.019673210852565858,0.019673210852565858,28254
atr_regime_zscore_60d,0.019304546222786673,0.019304546222786673,15835
dist_mq_hvl_0dte_pct,-0.01822095926734579,0.01822095926734579,3740
momentum_5b,0.017642144177264774,0.017642144177264774,29122
dist_big_ask_nearest_pct,0.0171372750741674,0.0171372750741674,4521
dist_us_low_pct,-0.016944142376953516,0.016944142376953516,9000
delta_bar,0.016887389137529,0.016887389137529,29634
poc_migration_dir,0.01688218690929106,0.01688218690929106,28254
is_news_845,0.016316408211561422,0.016316408211561422,28254
dist_mq_put_pct,-0.016256976479445094,0.016256976479445094,17963
delta_pct,0.015987918528182755,0.015987918528182755,28254
aggressor_imbalance,0.01556409290317709,0.01556409290317709,28254
dist_mq_hvl_pct,-0.015171248331959136,0.015171248331959136,17963
