check,%echec,n,ecart_median,%signe_inverse,exemple,note
"high >= max(open,close)",0.0%,70675,0.0,0.0,,
"low  <= min(open,close)",0.0%,70675,0.0,0.0,,
range_size = high-low (pts),0.0%,70675,0.0,0.0,,
bar_body_ticks = |close-open|/tick,43.8%,70675,0.0,33.1,2026-06-11 15:56:00 attendu=4.00 obtenu=-4.00,
bar_body_pct = body/range*100,43.9%,70426,-0.003,43.9,2026-06-11 15:56:00 attendu=19.05 obtenu=-19.05,
range_size_ticks = (high-low)/tick,99.5%,70664,52.0,0.0,2026-06-11 15:56:00 attendu=21.00 obtenu=171.00,si echec massif: mesure autre chose que la barre
volume = total_vol,0.0%,70675,0.0,0.0,,
total_vol = buy+sell,0.0%,70675,0.0,0.0,,
delta_bar = buy-sell,0.0%,70675,0.0,0.0,,
ask_pct + bid_pct = 1,0.0%,70675,0.0,0.0,,
ask_pct = buy/total,0.0%,70675,0.0,0.0,,
delta_pct = delta/total,0.0%,70675,0.0,0.0,,
delta_bar_vol_norm = delta_pct,0.0%,70675,0.0,0.0,,
ask_bid_imbalance = ask_pct-bid_pct,0.0%,70675,0.0,0.0,,
cvd_bar_delta = delta_bar,0.0%,70675,0.0,0.0,,
delta_day = cumsum(delta_bar) par session Sierra,21.5%,70675,0.0,2.3,2026-06-11 15:56:00 attendu=8.00 obtenu=7003.00,si echec: autre borne de session ou autre source
delta_day = cumsum par session_date (temoin),95.2%,70675,0.0,21.3,2026-06-11 15:56:00 attendu=8.00 obtenu=7003.00,temoin : compare l'ancienne cle a la nouvelle
cvd_day = delta_day,6.9%,70675,0.0,3.9,2026-06-11 15:56:00 attendu=7003.00 obtenu=13900.00,
cvd_session = cumsum(delta) depuis 9h30 ET,100.0%,20131,1817.0,17.6,2026-06-11 15:56:00 attendu=8.00 obtenu=5200.00,
dist_vwap_d = (vwap_d-close)/tick,0.0%,70675,0.0,0.0,,
dist_vwap_w = (vwap_w-close)/tick,0.0%,70675,0.0,0.0,,
dist_vwap_m = (vwap_m-close)/tick,0.0%,70675,0.0,0.0,,
dist_cur_vpoc = (cur_vpoc_lvl-close)/tick,0.0%,70675,0.0,0.0,,source reelle: cur_vpoc_lvl
dist_cur_vah = (cur_vah_lvl-close)/tick,0.0%,70675,0.0,0.0,,source reelle: cur_vah_lvl
dist_cur_val = (cur_val_lvl-close)/tick,0.0%,70675,0.0,0.0,,source reelle: cur_val_lvl
